age,i,n_age,biomass_age
10,1,8.11429820029027e7,1.0845730488278128e8
09,1,4.092482868079466e7,4.41511083429974e7
04,1,2.628519637673622e8,1.0775053668688479e8
08,1,3.8259146381793335e7,3.645382495452165e7
05,1,1.1279986076146115e8,6.4238561990206555e7
06,1,4.591319633057831e7,3.4377983725658014e7
07,1,4.6630425676121525e7,3.928339943818925e7
02,1,1.3063046074593668e9,1.5563245051338106e8
03,1,2.2438894255302253e9,5.766913209748838e8
01,1,1.7089525127004276e10,3.895669765270849e8
09,2,7.38067599008807e7,8.185637798391649e7
05,2,1.0586806462684122e8,6.07812260899318e7
04,2,4.908109518507684e8,1.9755661716440356e8
07,2,8.44712711979132e7,7.39957272962115e7
10,2,1.50303812100895e8,1.972870443566925e8
06,2,1.0026727200873667e8,7.902995503667744e7
08,2,7.245582825126263e7,7.179124127497116e7
03,2,2.1692581376771975e9,5.551482450433562e8
01,2,1.5060343042594097e10,3.3398467474345237e8
02,2,1.5059986704563038e9,1.9233181506880718e8
10,3,1.0691392474477437e8,1.3352604781979613e8
09,3,4.131593009787058e7,4.572954309513438e7
06,3,8.238052780161718e7,6.2560782399412416e7
04,3,4.6975650672975475e8,1.960039445044848e8
07,3,3.7403083037041776e7,2.8984949229887307e7
03,3,1.9867943372913318e9,5.0272947744368327e8
08,3,4.7333343085563675e7,4.305872369449903e7
05,3,4.99324100332734e7,2.680382467580054e7
02,3,1.160751174374476e9,1.4110319880021062e8
01,3,1.600489024331002e10,3.652042120986138e8
08,4,4.613013718886944e7,4.5221899207117915e7
09,4,3.5442233512019165e7,3.818629784461468e7
06,4,6.257631011498456e7,4.644388827194122e7
07,4,7.389625082677545e7,6.1335461440219425e7
05,4,1.216483465192886e8,7.323984228297955e7
10,4,1.0153270615058897e8,1.3047670995753843e8
03,4,1.5689397085464754e9,4.0888400962309515e8
04,4,2.876472322742993e8,1.1384116565537727e8
01,4,1.8133587009073616e10,4.127134569027268e8
02,4,1.1983206065406787e9,1.489423066239043e8
08,5,7.618258354879391e7,7.016615951294965e7
10,5,1.381227109532551e8,1.80665463476736e8
06,5,8.786343003744788e7,6.4837679528847866e7
04,5,3.8259870252629685e8,1.5237524308534047e8
09,5,5.454998555268129e7,5.983902561642348e7
07,5,1.0533971732729998e8,9.008127658502355e7
03,5,1.6999689806391573e9,4.363196780597712e8
05,5,8.251037001917706e7,4.551649401848985e7
01,5,1.5989299811450865e10,3.6243692940080863e8
02,5,1.3107358152971141e9,1.625541837200112e8
10,6,8.97380989587872e7,1.205336109968075e8
08,6,3.8294266034716815e7,3.6727452007900804e7
06,6,7.318089583738023e7,5.6394050809691e7
09,6,6.156109407487328e7,6.571451396457608e7
07,6,6.872954923336945e7,5.786531427753711e7
04,6,4.380864046847598e8,1.7864377845996794e8
03,6,1.8933047124113383e9,4.8851979880321693e8
05,6,7.957253502018782e7,4.534700677738048e7
02,6,1.1482689607838898e9,1.406198752357254e8
01,6,1.5281687412344772e10,3.412767626715916e8
09,7,6.5181903408912584e7,6.897247919641513e7
