i,species_code,age,n,biomass
1,21740,1,4.3457371820410186e8,1.2536647021165546e7
1,21740,2,4.3068433250025773e8,4.664652686067951e7
1,21740,3,2.5680257072670388e8,5.5531224424230285e7
1,21740,4,7.050546735370774e8,2.629242702907038e8
1,21740,5,2.6375826957095675e9,1.3798871850626667e9
1,21740,6,1.2313994453330092e9,7.639887858106651e8
1,21740,7,2.7139580250871134e8,1.682825876224191e8
1,21740,8,1.7529997197646216e8,1.1422924902445489e8
1,21740,9,1.8746603349520415e8,1.4756188082528827e8
1,21740,10,2.0012626289834368e8,1.9792644507264835e8
2,21740,1,4.3662587379533166e8,1.3230611684321953e7
2,21740,2,3.9095378965627915e8,4.3301725942657106e7
2,21740,3,2.3561356512610444e8,5.354083068469552e7
2,21740,4,7.211254824793991e8,2.7133121947813743e8
2,21740,5,2.6693627113170466e9,1.4014133662829692e9
2,21740,6,1.1668016626132517e9,7.179670406174353e8
2,21740,7,2.400038427889424e8,1.5359806074968243e8
2,21740,8,1.3757186987631172e8,9.253917110369988e7
2,21740,9,1.3921058353987956e8,1.0932312205381942e8
2,21740,10,1.2601037235526028e8,1.1773332114981197e8
3,21740,1,4.213649764655248e8,1.219919156216028e7
3,21740,2,3.987632824407442e8,4.292214361671741e7
3,21740,3,2.4570107255483562e8,5.430887304950684e7
3,21740,4,6.968403769815607e8,2.581296423445201e8
3,21740,5,2.6128013612464757e9,1.3794640164870186e9
3,21740,6,1.2059256155342743e9,7.589108006590035e8
3,21740,7,2.412290151289202e8,1.5308664735124034e8
3,21740,8,1.5957961381723464e8,1.0666135611272958e8
3,21740,9,1.687644429767198e8,1.3528796856564283e8
3,21740,10,1.6163304747648853e8,1.58510667640829e8
4,21740,1,3.7543907540633136e8,1.0428968564465808e7
4,21740,2,4.067866886018036e8,4.385387377384422e7
4,21740,3,2.4930073150725892e8,5.4566693866585515e7
4,21740,4,7.014535568478018e8,2.556118133330292e8
4,21740,5,2.7689012253498034e9,1.4458716318124914e9
4,21740,6,1.3173561804859555e9,8.205623893302273e8
4,21740,7,2.8602681250822854e8,1.8162966076134783e8
4,21740,8,1.9393609458527339e8,1.2605116419833335e8
4,21740,9,1.7355317423688656e8,1.383261672841921e8
4,21740,10,1.7043385054310068e8,1.6113085296010923e8
5,21740,1,4.975626754738836e8,1.3633053175969722e7
5,21740,2,5.2372636700861204e8,5.404474071538529e7
5,21740,3,3.385230537061206e8,6.773656523207214e7
5,21740,4,8.126429536446781e8,2.9310983272146636e8
5,21740,5,2.9883923550543084e9,1.5772319761430762e9
5,21740,6,1.4607935586610103e9,9.264129575527025e8
5,21740,7,3.109741795026072e8,1.993957510326228e8
5,21740,8,1.938048398253786e8,1.3171884683035319e8
5,21740,9,2.1532434625263065e8,1.693767080127886e8
5,21740,10,1.8058265845784e8,1.6481919946775508e8
6,21740,1,3.27350290645998e8,9.360160937469564e6
6,21740,2,3.1967426395834523e8,3.4468868958035715e7
6,21740,3,2.1712416891799012e8,4.8047161629126385e7
6,21740,4,6.611089628016241e8,2.489416375406564e8
6,21740,5,2.481389002255834e9,1.301159738040988e9
6,21740,6,1.1825162757057357e9,7.358657732493801e8
6,21740,7,2.261002739134912e8,1.420548901897072e8
6,21740,8,1.6446631284200042e8,1.0585852652126393e8
6,21740,9,1.559216679919001e8,1.2329255770402735e8
6,21740,10,1.5766151061284027e8,1.4929214743140158e8
7,21740,1,3.3687366121433216e8,9.190594279458035e6
7,21740,2,3.8082693537590796e8,4.061362415936041e7
7,21740,3,2.4510091743904966e8,5.5939446311010174e7
7,21740,4,6.587340153711424e8,2.474428975141653e8
7,21740,5,2.519829658083038e9,1.3174314237069988e9
7,21740,6,1.1235039846256814e9,7.018385817713063e8
7,21740,7,2.3266863641419664e8,1.483171974338689e8
7,21740,8,1.492271163910083e8,1.0186864088464329e8
7,21740,9,1.3286360480735926e8,1.0610978263141802e8
7,21740,10,1.4378599282433292e8,1.383092358496231e8
8,21740,1,2.988094267583652e8,9.241514741100358e6
8,21740,2,3.496386438819721e8,3.934117649957642e7
8,21740,3,2.211803195194568e8,5.259321091170254e7
8,21740,4,6.404197264659249e8,2.4423438415753582e8
8,21740,5,2.396355644741154e9,1.2543053928627353e9
8,21740,6,1.0043063690792352e9,6.092017780490798e8
8,21740,7,1.9457184477618492e8,1.2463373612227926e8
8,21740,8,1.1050480694358669e8,7.666712732848231e7
8,21740,9,1.036002202557546e8,8.339513453221431e7
8,21740,10,8.324004423479748e7,7.70488820441675e7
9,21740,1,3.6867732945533246e8,1.0612493703572182e7
9,21740,2,4.050281956213375e8,4.496762664892474e7
9,21740,3,2.1735141685021526e8,5.197588439325322e7
9,21740,4,6.686519991612735e8,2.5479479549116454e8
9,21740,5,2.505242713784244e9,1.3188517148287284e9
9,21740,6,1.1344500318728008e9,7.087493102974465e8
9,21740,7,2.350868395179767e8,1.548149096588867e8
9,21740,8,1.4428905678408194e8,1.0063071065720291e8
9,21740,9,1.3729429262738356e8,1.0885831270368566e8
9,21740,10,1.3540239466802174e8,1.290010769226327e8
10,21740,1,3.098393443933772e8,9.34528783473477e6
10,21740,2,3.126829341133568e8,3.383664488938491e7
10,21740,3,2.1880911086090603e8,5.0941245559451e7
10,21740,4,7.034652207205901e8,2.6861497994142747e8
10,21740,5,2.648424004847271e9,1.3986520762925556e9
10,21740,6,1.1583055326238084e9,7.221439281563301e8
10,21740,7,2.2024461526287186e8,1.4284743041055223e8
10,21740,8,1.1995728196975996e8,8.301464084126759e7
10,21740,9,1.303894576803409e8,1.021453964717657e8
10,21740,10,1.1445372949095166e8,1.0775686821246931e8
11,21740,1,3.6064492511452216e8,1.0753565818682823e7
11,21740,2,3.3813306179358405e8,3.6652864561264865e7
11,21740,3,2.307755390099214e8,5.215433192624979e7
11,21740,4,7.095757530916145e8,2.626776522376411e8
11,21740,5,2.5509833648598394e9,1.3182910946236336e9
11,21740,6,1.1342069074818103e9,6.893978638162789e8
11,21740,7,2.3258502393203574e8,1.472189522523508e8
11,21740,8,1.4104345646840587e8,9.435238681503561e7
11,21740,9,1.5524673820051253e8,1.240541950421193e8
11,21740,10,1.3005899819640127e8,1.2245296737921715e8
12,21740,1,3.7895781506841063e8,1.1613552705647584e7
12,21740,2,3.597117450400393e8,3.9400194796892926e7
12,21740,3,2.4898747460343623e8,5.7572563811981685e7
12,21740,4,7.298340020751821e8,2.7408322728163046e8
12,21740,5,2.7483180044544516e9,1.4488125412359219e9
12,21740,6,1.2262948088991299e9,7.576654262089925e8
12,21740,7,2.6121750708065838e8,1.6550095314967713e8
12,21740,8,1.350851294005046e8,9.222755811928579e7
12,21740,9,1.3539678157364377e8,1.0885652524444118e8
12,21740,10,1.4177470976838523e8,1.3660984690633202e8
13,21740,1,4.223299319058298e8,1.1894010294604618e7
13,21740,2,3.9515675623380977e8,4.168267797006346e7
13,21740,3,2.84996940970679e8,6.256904888890995e7
13,21740,4,7.273040149176018e8,2.6825937003436577e8
13,21740,5,2.6444717637145934e9,1.379532342924771e9
13,21740,6,1.2083852772295997e9,7.512956406291132e8
13,21740,7,2.863023636795496e8,1.8212476337820962e8
13,21740,8,1.588421998238142e8,1.0664380808349067e8
13,21740,9,1.7374466863000655e8,1.3930176713616046e8
13,21740,10,1.753970596040321e8,1.6609570041379613e8
14,21740,1,3.492073389791135e8,9.28150323968945e6
14,21740,2,3.676545451073546e8,3.9432576470849104e7
14,21740,3,2.3751711359812343e8,5.145887743564509e7
14,21740,4,6.832344376407657e8,2.5184759073245236e8
14,21740,5,2.5217816087893457e9,1.3311146193173797e9
14,21740,6,1.1932473395466793e9,7.579362313139104e8
14,21740,7,2.6641717292580974e8,1.708468991230583e8
14,21740,8,1.8126723757826692e8,1.1688941073896667e8
14,21740,9,1.7463273622668135e8,1.3688434461622137e8
14,21740,10,1.7372390840239397e8,1.6014537599811286e8
15,21740,1,3.174446141664971e8,1.007101870919467e7
15,21740,2,3.6621491254062593e8,4.132142781474343e7
15,21740,3,2.210260000330966e8,5.22377560064909e7
15,21740,4,6.480633597643771e8,2.4471185663736427e8
15,21740,5,2.4831743713608727e9,1.3039183074785519e9
15,21740,6,1.0349695548456972e9,6.379063679072692e8
15,21740,7,2.0787055008038136e8,1.358038129836236e8
15,21740,8,1.0744150672375937e8,7.486085029723626e7
15,21740,9,1.0778056759874637e8,8.565662805690473e7
15,21740,10,9.518407408352023e7,8.852879577773215e7
16,21740,1,3.879711122250008e8,1.1195881386389667e7
16,21740,2,3.5104803498263645e8,3.871129823352742e7
16,21740,3,2.299621680402767e8,5.2666029112300165e7
16,21740,4,6.842032494416089e8,2.575462237075713e8
16,21740,5,2.5189452111616488e9,1.3181153795652852e9
16,21740,6,1.161093634312868e9,7.249716500748146e8
16,21740,7,2.528375778132197e8,1.624481254186499e8
16,21740,8,1.466124362464837e8,9.969726436154786e7
16,21740,9,1.3464777304416332e8,1.0716334123722161e8
16,21740,10,1.3656752607626164e8,1.3236007311349738e8
17,21740,1,3.6970969354248625e8,1.0760787086051902e7
17,21740,2,3.75329099279133e8,4.142499945315936e7
17,21740,3,2.3822609757897717e8,5.3967462709154435e7
17,21740,4,6.617540562866323e8,2.4861797688721743e8
17,21740,5,2.5421450372167897e9,1.3315722867822952e9
17,21740,6,1.1433162186077433e9,7.061682337836846e8
17,21740,7,2.26136247512712e8,1.4596790202334052e8
17,21740,8,1.3026529001537538e8,8.979042841516998e7
17,21740,9,1.2716892085055012e8,1.0266152499223195e8
17,21740,10,1.2999233628403756e8,1.2404530494362947e8
18,21740,1,3.4096937941972107e8,9.901876985781435e6
18,21740,2,3.069514735411726e8,3.390786438416006e7
18,21740,3,2.302278195514013e8,5.301353625219793e7
18,21740,4,7.029294136048691e8,2.6825850673284268e8
18,21740,5,2.7013410918454666e9,1.42123976747437e9
18,21740,6,1.2193832065788534e9,7.611056510717976e8
18,21740,7,2.553086195229258e8,1.6390429726653975e8
18,21740,8,1.5028601217197493e8,1.0409430094095756e8
18,21740,9,1.5163452596899855e8,1.2207643453956655e8
18,21740,10,1.4528168569035655e8,1.3853314528884313e8
19,21740,1,3.541052546188476e8,9.549612594663922e6
19,21740,2,3.995307024491794e8,4.273731276225149e7
19,21740,3,2.4637348186074823e8,5.638973613108579e7
19,21740,4,7.068276576272452e8,2.6268714086448285e8
19,21740,5,2.6375179914603567e9,1.382842371058659e9
19,21740,6,1.2392366464532855e9,7.694940096132061e8
19,21740,7,2.774319836811007e8,1.7834957330168402e8
19,21740,8,1.5115505020572168e8,9.927831320183882e7
19,21740,9,1.5900353126789892e8,1.2487593510182497e8
19,21740,10,1.6546078077292937e8,1.5653075085174513e8
20,21740,1,3.740583774955399e8,1.1287303035411071e7
20,21740,2,4.230191907031523e8,4.741198894711391e7
20,21740,3,2.5923156691579643e8,6.0250146177901596e7
20,21740,4,6.980401575692434e8,2.6174233086292672e8
20,21740,5,2.606894899137528e9,1.3570086052742684e9
20,21740,6,1.132370203020896e9,6.935368481241094e8
20,21740,7,2.2118568155325055e8,1.4289450114140552e8
20,21740,8,1.370340436539142e8,9.39032262789428e7
20,21740,9,1.1942038848683235e8,9.584609756133798e7
20,21740,10,1.181734021675579e8,1.1027734950798468e8
21,21740,1,4.652112911977191e8,1.4362917122509401e7
21,21740,2,4.337965305432589e8,4.74542547296735e7
21,21740,3,2.4815896038480642e8,5.635753651742116e7
21,21740,4,7.321751798091524e8,2.7184755639825296e8
21,21740,5,2.6469502665092497e9,1.3904647295213428e9
21,21740,6,1.1720779781181073e9,7.244915857140683e8
21,21740,7,2.405490806957397e8,1.5405120938492525e8
21,21740,8,1.31780175054528e8,8.914783125773561e7
21,21740,9,1.3294226344938008e8,1.0572506412988824e8
21,21740,10,1.2605274734906203e8,1.1956108806300685e8
22,21740,1,2.881515004086764e8,8.812496441021485e6
22,21740,2,3.5404717140628594e8,4.00212163860309e7
22,21740,3,2.1657333317337137e8,5.268724999555928e7
22,21740,4,6.39814736445499e8,2.3986561363534644e8
22,21740,5,2.4448096763902674e9,1.2796681756587346e9
22,21740,6,1.0649377235369039e9,6.57060626796353e8
22,21740,7,2.0134790324895015e8,1.313601598202387e8
22,21740,8,1.2539432647576624e8,8.714111038601327e7
22,21740,9,1.1137017178090677e8,8.990903944523646e7
22,21740,10,1.0219634713195238e8,9.550907511812764e7
23,21740,1,4.5512486968615085e8,1.1744488593303736e7
23,21740,2,3.6094074912462234e8,3.720317761754944e7
23,21740,3,2.6162075590275925e8,5.384634922882888e7
23,21740,4,6.981756560552146e8,2.5292069849965718e8
23,21740,5,2.631296208495275e9,1.3710238605187335e9
23,21740,6,1.2497583922002373e9,7.736209611544151e8
23,21740,7,2.9422259415156054e8,1.8568125657354254e8
23,21740,8,2.0240683578078634e8,1.2739552516278484e8
23,21740,9,2.0439820025926358e8,1.5797704468879324e8
23,21740,10,2.054722990363753e8,1.9422346137280634e8
24,21740,1,4.316548992201482e8,1.3132739436792342e7
24,21740,2,3.6710148613487965e8,4.048577744859119e7
24,21740,3,2.2058716214683488e8,5.0723854996524714e7
24,21740,4,6.692542401996311e8,2.5231197811207938e8
24,21740,5,2.5323857843143296e9,1.3304560977981417e9
24,21740,6,1.1255841276905775e9,6.913132712121271e8
24,21740,7,2.2277559915713882e8,1.4152759957909203e8
24,21740,8,1.2879854103989512e8,8.509384287957574e7
24,21740,9,1.2962264349374315e8,1.012383858826037e8
24,21740,10,1.1611730101116154e8,1.092427372959961e8
25,21740,1,4.000363677745297e8,1.0688197441929469e7
25,21740,2,4.500089176767956e8,4.80792281985751e7
25,21740,3,2.6748494008982196e8,5.69587044383451e7
25,21740,4,7.050437135630039e8,2.6040717192510667e8
25,21740,5,2.6862658596390047e9,1.4261980105030572e9
25,21740,6,1.2964502819288564e9,8.270664515459535e8
25,21740,7,2.77327495485685e8,1.747701134231799e8
25,21740,8,1.8236416488299793e8,1.1804453534528446e8
25,21740,9,1.714392819281906e8,1.3361019896621534e8
25,21740,10,1.9550396492710716e8,1.8657925082750803e8
26,21740,1,4.740065334101151e8,1.3167192453180717e7
26,21740,2,4.2974023792442065e8,4.445339831024634e7
26,21740,3,2.8659799683822143e8,6.187324220012602e7
26,21740,4,7.733968582164671e8,2.892998677720719e8
26,21740,5,2.9295425680186467e9,1.5313404506955109e9
26,21740,6,1.4259975659414086e9,8.954155587315422e8
26,21740,7,3.2013556846415967e8,2.000065620266776e8
26,21740,8,1.944814806948101e8,1.3060089588271396e8
26,21740,9,1.9289422321858504e8,1.5208065412667847e8
26,21740,10,2.1267581827486616e8,2.0751847782342523e8
27,21740,1,3.19575328313026e8,9.70729117588597e6
27,21740,2,4.1004161979648167e8,4.5523432656314224e7
27,21740,3,2.2141043223377243e8,5.098539741261254e7
27,21740,4,6.316058322575268e8,2.4016321160873184e8
27,21740,5,2.4727382909581637e9,1.2910801069497337e9
27,21740,6,1.0902235320796874e9,6.778993445127664e8
27,21740,7,2.205873130202394e8,1.4092982119554543e8
27,21740,8,1.2483884463746029e8,8.546892700073907e7
27,21740,9,1.1925335345221242e8,9.461938024448448e7
27,21740,10,1.233074174807552e8,1.1818863289873624e8
28,21740,1,3.2918861987864506e8,9.723782346736796e6
28,21740,2,3.646294687866113e8,3.9822706182699546e7
28,21740,3,2.3881476966592705e8,5.511825917672173e7
28,21740,4,7.044917002653795e8,2.640991446459313e8
28,21740,5,2.592780286867875e9,1.3561233945226507e9
28,21740,6,1.1603721695860515e9,7.213292176189348e8
28,21740,7,2.4230215649408543e8,1.5395497795016542e8
28,21740,8,1.4880785179305947e8,1.0151610982074398e8
28,21740,9,1.6175131420777458e8,1.2728739800114074e8
28,21740,10,1.6155681022361064e8,1.5914650711402652e8
29,21740,1,3.695034014041717e8,1.1218798148424257e7
29,21740,2,3.725749214123044e8,4.0961150267803855e7
29,21740,3,2.332092302516237e8,5.341370496007952e7
29,21740,4,6.66014738021266e8,2.5133882810018438e8
29,21740,5,2.6083548548460712e9,1.3612479597915497e9
29,21740,6,1.1966103535315084e9,7.404779282070055e8
29,21740,7,2.3869134193476406e8,1.5498423205791962e8
29,21740,8,1.4934334572677505e8,1.0438720053910404e8
29,21740,9,1.3807922837945205e8,1.0948521280270895e8
