i,species_code,age,n,biomass
1,21740,1,2591790289.4762516,110875406.22919255
1,21740,2,5022706804.105983,944215339.1611605
1,21740,3,29392558798.5369,8377965040.382714
1,21740,4,236415861873.82727,94514279196.78027
1,21740,5,37928666237.24067,18921655930.94759
1,21740,6,9824995125.086857,5972359778.423117
1,21740,7,7761579282.575846,5181836354.2038145
1,21740,8,6669259717.971929,4903493410.372741
1,21740,9,1832567019.7230263,1320746326.7257516
1,21740,10,881632635.818599,1344833389.7333105
2,21740,1,9036911554.784594,357939634.0815871
2,21740,2,10901831524.448442,1987844286.0435488
2,21740,3,53678088867.44478,15243225320.943378
2,21740,4,392501511836.2776,163582984105.3321
2,21740,5,65723273337.76632,33683766079.22732
2,21740,6,22054646842.54181,12265102273.120914
2,21740,7,17025790772.825726,10848093827.556995
2,21740,8,15678953923.821936,11612360665.474247
2,21740,9,8500842129.933283,6506824655.475959
2,21740,10,1375891904.610318,2312145656.2507586
3,21740,1,18806177638.85964,881566263.2395357
3,21740,2,24067002353.352142,2819397089.5889764
3,21740,3,91846667886.8177,28405602687.724686
3,21740,4,928857469494.0477,407951529613.4479
3,21740,5,256155289487.72668,131971540584.21628
3,21740,6,64020213516.392136,35228440776.76534
3,21740,7,25863014486.6492,18080146585.71972
3,21740,8,56389367249.61291,41324903841.67354
3,21740,9,25459505584.298477,18979555279.058567
3,21740,10,6391513053.425263,6968701551.014988
4,21740,1,2669662874.1772585,114480815.5862085
4,21740,2,10274735433.74881,2272109555.1784472
4,21740,3,44184931342.09204,13189284764.887098
4,21740,4,350803536496.28253,133266775107.95374
4,21740,5,43814335267.27117,21150864490.94868
4,21740,6,8838097988.089603,4955691457.503016
4,21740,7,3914309256.423052,2544045808.177715
4,21740,8,4373528328.404282,3057879950.4661756
4,21740,9,3067110160.338391,2622931444.0180287
4,21740,10,1319184468.403104,1681418476.7459087
5,21740,1,963868590.0698179,38525131.383475885
5,21740,2,6667350671.509536,1474422972.686094
5,21740,3,37788082988.99107,11164301836.380016
5,21740,4,240270208094.42416,88552931980.5711
5,21740,5,24218725563.543583,11041985082.030405
5,21740,6,7907134629.688609,4415333622.342082
5,21740,7,4785006722.204848,3341149845.0666656
5,21740,8,7444373138.627195,5998207093.417857
5,21740,9,1944094190.0503488,1702656262.9299204
5,21740,10,1045772308.863929,1092674155.6285825
6,21740,1,1947965138.372506,76692790.66621174
6,21740,2,9115845754.977991,2072709864.6825562
6,21740,3,47439359855.523895,13725006065.815992
6,21740,4,350615084488.97296,129341605159.85577
6,21740,5,40787797448.162025,18793805780.719975
6,21740,6,7073570242.968926,3871637720.873498
6,21740,7,4949474324.869286,3286165758.8187127
6,21740,8,4704804922.719524,3718826832.518411
6,21740,9,4139473389.3797016,3463902435.404115
6,21740,10,1120735955.2477794,1464946966.9371612
7,21740,1,78332655282.88988,3678903798.6934123
7,21740,2,142908613343.56302,17251867887.23164
7,21740,3,232099868670.88477,69142449670.52435
7,21740,4,3493700346509.3174,1558691272788.9287
7,21740,5,947526652994.6759,486313214208.19495
7,21740,6,202239371604.18106,114998449382.4015
7,21740,7,151329044708.09674,100462256844.96829
7,21740,8,201601878547.403,168582590745.17072
7,21740,9,150718218376.4022,144263719748.6485
7,21740,10,15568166613.096785,26810463729.50707
8,21740,1,6665781305.452046,294944200.6645691
8,21740,2,12374224477.548712,1988718859.0064363
8,21740,3,37112765924.61839,10617800608.371391
8,21740,4,407235507663.0447,167803706345.13562
8,21740,5,65007492900.90359,33782305346.148144
8,21740,6,16206893635.282423,9267418284.49539
8,21740,7,7655176870.044237,5043783224.236576
8,21740,8,15117209723.16485,12102104285.57728
8,21740,9,7288699245.249854,6579678086.720252
8,21740,10,5881436467.889465,7240286096.54747
9,21740,1,3834845442.1933136,158903827.84732437
9,21740,2,8953408316.118275,1929173077.9293647
9,21740,3,47239875452.253746,14319411805.249922
9,21740,4,406360666537.70953,158156982786.15924
9,21740,5,50239627565.74591,24721990893.104816
9,21740,6,11630233450.965385,6525877418.960886
9,21740,7,4826887514.290327,3374367165.7055535
9,21740,8,9580571191.024342,6872201622.275035
9,21740,9,4294599531.5846076,3133678001.808568
9,21740,10,1088567938.3267214,1173987622.2461066
10,21740,1,1680258472.6152034,72914263.30892867
10,21740,2,5524429861.604794,1083479573.2230217
10,21740,3,28239568583.809532,8416290611.997449
10,21740,4,223419952496.78958,87898097875.5444
10,21740,5,27822392618.548862,13942662843.665176
10,21740,6,7209658538.168266,4247331933.5328255
10,21740,7,3449851635.0492907,2607395213.48419
10,21740,8,5055741682.140955,4174013310.2548985
10,21740,9,2798115602.6040015,2250048466.1143546
10,21740,10,1628923528.5858629,2140663922.2457461
11,21740,1,10887002534.075394,529623118.0979731
11,21740,2,15215683280.688019,1857175121.5857508
11,21740,3,55571400609.83514,15784038156.757418
11,21740,4,565168962704.2039,257592286866.3397
11,21740,5,92424334541.392,49518589048.93742
11,21740,6,38656832666.48768,22281847521.90055
11,21740,7,20260050313.673832,13056807146.580462
11,21740,8,20514031265.012917,15159895490.06077
11,21740,9,6941863005.015584,5392799085.637207
11,21740,10,6553327691.706129,9750483151.873333
12,21740,1,4254841528.8729534,182203931.93341467
12,21740,2,13132203608.34032,2637434038.876563
12,21740,3,83935110836.66399,23329402685.44849
12,21740,4,512024693131.06134,192682870237.45267
12,21740,5,60484857260.625725,30011103753.487785
12,21740,6,13179041454.792046,7396589637.637319
12,21740,7,8772163621.58496,6081283828.314028
12,21740,8,10138146204.866142,7701991908.182221
12,21740,9,3317085516.134983,2654036618.462543
12,21740,10,2470239111.623756,2407368647.0892572
13,21740,1,1722641856.4630992,76661475.16262724
13,21740,2,9187610603.872921,1938729630.872946
13,21740,3,40962840378.07288,11711048207.313145
13,21740,4,263263917823.27722,96354285443.84741
13,21740,5,24410537515.606552,11692722046.147844
13,21740,6,4988672630.542987,2778373410.7004642
13,21740,7,4487072632.816188,3215086132.2244515
13,21740,8,6480759518.09158,5110695571.810477
13,21740,9,1667326047.1391282,1273387858.7081518
13,21740,10,1276373496.932352,1742782374.1652815
14,21740,1,3183999182.345111,112127005.80296691
14,21740,2,17268903971.016346,4848141466.661214
14,21740,3,124042970561.65492,41749680042.88516
14,21740,4,1030407680495.3918,444445071458.69275
14,21740,5,202475287889.8771,101203429951.04028
14,21740,6,45124031767.01062,23666265901.397682
14,21740,7,2755372703.8102345,1888616335.5715969
14,21740,8,14218136410.44806,9788292117.636131
14,21740,9,5341464378.623849,3613011105.782948
14,21740,10,8278667252.592822,7042599695.035765
15,21740,1,2644644126.5485487,113592482.4693895
15,21740,2,6890518971.316078,1340813090.4046807
15,21740,3,31286075586.066242,8761266012.570719
15,21740,4,186063953294.32178,73773154104.38802
15,21740,5,33942656683.903576,17008180483.058088
15,21740,6,7839400293.346824,4399568374.68497
15,21740,7,6171109624.592948,4305923279.8854065
15,21740,8,7071966792.31083,5306445612.4978285
15,21740,9,2364591001.3320465,2065369904.1087728
15,21740,10,1508259532.820868,1813270634.358727
16,21740,1,786057663.8708454,30308399.457232337
16,21740,2,7039798010.756332,1702740521.4806175
16,21740,3,31764180257.394634,9781022146.558306
16,21740,4,225404934516.80566,82468612070.65562
16,21740,5,18423022739.408947,8863654909.283792
16,21740,6,3368013910.007672,1973762177.6851995
16,21740,7,1726141237.2700188,1208188909.7894297
16,21740,8,2143469421.5439622,1702393427.9637427
16,21740,9,1073060542.1586206,924388392.0874727
16,21740,10,628924996.3810766,782490512.0810661
17,21740,1,3068708559.524838,131943713.0884793
17,21740,2,18403724274.167553,4148764830.1462836
17,21740,3,93812261362.03905,26074755097.421413
17,21740,4,484308067450.84485,178166882424.78244
17,21740,5,54581594663.75104,26595550396.644135
17,21740,6,9306441813.346416,5443588314.370523
17,21740,7,7041196654.51135,4579809545.591918
17,21740,8,7556621286.490323,5218207438.175948
17,21740,9,3585260790.8229356,2767119628.1305666
17,21740,10,538885988.1657456,826890313.1011796
18,21740,1,1157018123.8106124,37139134.33558673
18,21740,2,5292213398.880836,1021127380.5432435
18,21740,3,28622676392.614826,8154971890.310562
18,21740,4,181750309537.06473,69615410678.7144
18,21740,5,20963866795.02936,10138719875.922167
18,21740,6,4357383639.504226,2379861807.7896585
18,21740,7,2330533194.1411977,1685127536.3854795
18,21740,8,3608190701.3739514,2706824291.471478
18,21740,9,1779260364.9665086,1451427301.1281278
18,21740,10,768261630.4158466,868279845.5649942
19,21740,1,6525557178.677959,300719911.186392
19,21740,2,10524991977.311602,1568135211.611124
19,21740,3,46144575673.99288,12995604048.835644
19,21740,4,314408057656.0906,129005660221.96162
19,21740,5,77872635656.48666,38483433540.11995
19,21740,6,19780035100.23236,11448483316.650301
19,21740,7,9109556751.52259,5712584543.055472
19,21740,8,13987825629.086609,10392983411.913137
19,21740,9,5677270540.028707,4467983706.264046
19,21740,10,3341032744.251414,4343251985.918119
20,21740,1,2498499727.717352,92858440.78870915
20,21740,2,10786959717.45247,2445697839.2652364
20,21740,3,69173873064.7087,19369486202.630116
20,21740,4,379477556428.2044,139180945956.98315
20,21740,5,41200901737.99583,19052763936.169262
20,21740,6,6869570766.78312,3837198622.923924
20,21740,7,6108957343.765646,3952187796.9763117
20,21740,8,7194268626.158448,5498163696.117022
20,21740,9,3252042641.2719007,2647988928.131556
20,21740,10,1365895560.594148,1204433624.8235288
21,21740,1,1986841478.606746,80805048.49556625
21,21740,2,8148863344.338821,1475532704.273146
21,21740,3,35472855275.174515,9759749241.79138
21,21740,4,186724510044.63055,72610127276.30428
21,21740,5,23414987763.667686,11693054131.25544
21,21740,6,5299182636.384971,2941832453.6226373
21,21740,7,3131444698.997951,2148575170.4322476
21,21740,8,4328795447.321238,3219226856.526013
21,21740,9,2494243571.6516232,1843138121.2892573
21,21740,10,1197265925.7011526,1470606729.5735557
22,21740,1,2639619935.774824,112994986.42848289
22,21740,2,6104690585.801001,1134665291.2795968
22,21740,3,30558854611.11535,8490087870.5621605
22,21740,4,238661869540.2889,98476042308.86397
22,21740,5,42155982521.98112,21331962251.326454
22,21740,6,8170546407.795427,4805368223.36188
22,21740,7,10578321235.16767,7225366977.41991
22,21740,8,9713870300.167488,7131012761.573047
22,21740,9,5652706918.29296,4406858458.444976
22,21740,10,1488699564.21275,1844254457.5057874
23,21740,1,4761375700.14136,206240056.3981405
23,21740,2,8892261643.568752,1760136919.6543093
23,21740,3,54104052667.241646,16432971763.23961
23,21740,4,428718511774.063,169877016848.8141
23,21740,5,52536471066.96414,26617528500.10292
23,21740,6,14828145752.626957,8601411357.213596
23,21740,7,6984170401.402063,4684923299.39121
23,21740,8,12647174437.077593,9069225243.924921
23,21740,9,4390054413.747886,3723054409.356415
23,21740,10,1076285991.5526686,1772024922.3555264
24,21740,1,4359486357.648324,184844235.45436117
24,21740,2,15589723562.23846,3017251954.458402
24,21740,3,74790283185.35419,22266019355.88259
24,21740,4,548855708341.0094,212580195335.7456
24,21740,5,85001067107.24265,41311168137.12571
24,21740,6,20487253748.931248,11469813006.500896
24,21740,7,7565111379.667855,4941824716.593901
24,21740,8,9961885106.906391,7266739287.404841
24,21740,9,1640685637.3720832,1251712330.5337775
24,21740,10,1148717410.7622645,1143781173.1206477
25,21740,1,917356669.9412115,32180820.680998888
25,21740,2,4863128268.783411,985268538.2356651
25,21740,3,24479011704.146717,7363202633.673323
25,21740,4,218161859691.9189,85955985164.80537
25,21740,5,31467695186.158016,15406784649.738821
25,21740,6,7027834213.187244,3958975222.8417797
25,21740,7,3711541162.9464293,2563694026.1979394
25,21740,8,5067762612.296174,3656584160.1280093
25,21740,9,2217115413.8392344,1717233955.7521813
25,21740,10,845634320.2754554,871699093.4555521
26,21740,1,1952790852.5583389,74822246.11888191
26,21740,2,12102118858.276127,2737094339.89104
26,21740,3,64598541985.40463,18718726891.550972
26,21740,4,380008971158.4623,142417931816.1954
26,21740,5,35682577269.798386,17499480608.70888
26,21740,6,8176411533.488147,4431227719.609485
26,21740,7,4050897587.347794,2779679120.975994
26,21740,8,5574570049.244253,4141676544.024578
26,21740,9,1675817499.7613873,1501510164.7004728
26,21740,10,920810754.9377683,981158498.4270743
27,21740,1,1476494486.0933442,63224435.450927876
