i,species_code,age,n,biomass
1,21740,1,6.079736667232621e9,1.9036106995869198e8
1,21740,2,7.651440703248052e9,8.615452623220621e8
1,21740,3,1.094432968956859e9,2.9484033079637015e8
1,21740,4,2.476524901048187e9,1.1688001373339026e9
1,21740,5,5.0122383067148525e8,3.1538420059420145e8
1,21740,6,7.587542833882076e7,5.3634360832440175e7
1,21740,7,1.9599915536292385e7,1.1515446585349016e7
1,21740,8,2.7210440630829934e7,2.2981759455515485e7
1,21740,9,8.337607146823174e7,1.3802097141517624e8
1,21740,10,3.1920693019701876e7,3.4526446504297264e7
2,21740,1,6.627311126065893e9,2.0730810386476704e8
2,21740,2,7.739777301775622e9,8.601788476737578e8
2,21740,3,1.1147582729042997e9,2.9533504463326323e8
2,21740,4,1.8837676968904438e9,8.764652142015501e8
2,21740,5,4.1514442570287466e8,2.6034969523652747e8
2,21740,6,6.5367675787936136e7,4.57686286552963e7
2,21740,7,1.2156949172555955e7,6.999190196959828e6
2,21740,8,2.256875013808614e7,1.975652746031433e7
2,21740,9,7.287378149535196e7,1.2172096862155935e8
2,21740,10,2.858829338412561e7,3.3358515670115843e7
3,21740,1,6.412808672747173e9,2.0037221565627396e8
3,21740,2,6.163374235224891e9,6.863479231614187e8
3,21740,3,8.836405441226995e8,2.356690736865145e8
3,21740,4,2.0130257697555206e9,9.380129368242426e8
3,21740,5,4.3273225384267795e8,2.7346069593399125e8
3,21740,6,7.184910023555936e7,5.091781967517277e7
3,21740,7,2.5736143562284686e7,1.4079247089212907e7
3,21740,8,3.045888252558208e7,2.4712614963824e7
3,21740,9,1.2604278305619352e8,2.1511588621805668e8
3,21740,10,6.775482701763587e7,8.268430371726371e7
4,21740,1,5.898082260713901e9,1.8437087946733436e8
4,21740,2,7.6435942761434355e9,8.61448946470685e8
4,21740,3,1.1262950129674203e9,3.035868081989994e8
4,21740,4,2.5411492344456153e9,1.185388944257393e9
4,21740,5,5.001622422738763e8,3.1246234576887554e8
4,21740,6,7.259733042195687e7,5.096474765736687e7
4,21740,7,1.9684428323746093e7,1.2025815358185656e7
4,21740,8,3.416534768900583e7,2.955101128386618e7
4,21740,9,9.507222618179747e7,1.6101157432290125e8
4,21740,10,3.9117225721713975e7,4.5609326268652834e7
5,21740,1,8.389346886487912e9,2.635761848306642e8
5,21740,2,7.251761516198891e9,8.114029219037113e8
5,21740,3,1.0715493715778604e9,2.87494630774097e8
5,21740,4,2.0552292341357872e9,9.764054455081797e8
5,21740,5,4.306808740358429e8,2.717021283654752e8
5,21740,6,7.192589764918207e7,5.01972452776667e7
5,21740,7,1.7359755867251452e7,9.473096973110616e6
5,21740,8,3.35865584603871e7,2.835351195570164e7
5,21740,9,9.301342548273979e7,1.5231863458212414e8
5,21740,10,2.9862848659625087e7,3.213311930863392e7
6,21740,1,7.62892371482522e9,2.3398351580004826e8
6,21740,2,7.715648171123649e9,8.752851236232579e8
6,21740,3,1.1757049646644983e9,3.157265132659191e8
6,21740,4,2.256464907740856e9,1.0465589027837734e9
6,21740,5,4.524378055259438e8,2.813000024271739e8
6,21740,6,7.56936900526455e7,5.292867259693891e7
6,21740,7,1.840426528221243e7,1.0858342562929824e7
6,21740,8,2.8739212031910397e7,2.2849338926165633e7
6,21740,9,7.99547086798169e7,1.34365853760746e8
6,21740,10,4.6355089911842674e7,5.489228245409092e7
7,21740,1,9.970981847754915e9,3.113094990570437e8
7,21740,2,8.018982300848898e9,9.14484864942987e8
7,21740,3,1.1095588497190542e9,2.9311189298235446e8
7,21740,4,2.1457566075271354e9,1.0022878121686457e9
7,21740,5,4.3572926765401053e8,2.77731145050145e8
7,21740,6,7.073109843670835e7,5.000962089742201e7
7,21740,7,2.311260910564268e7,1.3380260164841376e7
7,21740,8,2.7374652211182047e7,2.3222447072858013e7
7,21740,9,1.0323079841293061e8,1.727811910170167e8
7,21740,10,4.5934633248788044e7,5.3709732991178244e7
8,21740,1,3.847190661173296e9,1.1967635294997935e8
8,21740,2,5.202460167479639e9,5.887212031681833e8
8,21740,3,7.318814600768688e8,1.9201942822416055e8
8,21740,4,1.5435754271143484e9,7.117162485578902e8
8,21740,5,3.5133671571137106e8,2.1993228054634237e8
8,21740,6,5.5602826003825e7,3.9819549643181644e7
8,21740,7,1.7989418603704385e7,9.852776928926317e6
8,21740,8,2.392847741035999e7,2.050603373557414e7
8,21740,9,6.86118275631947e7,1.1442487285620932e8
8,21740,10,2.7699808995803844e7,3.1459098719022084e7
9,21740,1,6.451252111379147e9,1.9742693125290865e8
9,21740,2,8.572768013497256e9,9.807434673291225e8
9,21740,3,1.1518141039025607e9,3.042183947547124e8
9,21740,4,2.361046143647398e9,1.0928844221146326e9
9,21740,5,4.5461300282458746e8,2.855771859036732e8
9,21740,6,7.08802753552193e7,5.0521623965476185e7
9,21740,7,1.5939176324398112e7,1.0205950736253558e7
9,21740,8,2.4181631861446057e7,2.1149844439390108e7
9,21740,9,6.678600155775659e7,1.0976680749600807e8
9,21740,10,2.4325446567191534e7,2.6157613440753095e7
10,21740,1,3.171745034266616e9,9.847045591443717e7
10,21740,2,4.806826628127471e9,5.433693692085806e8
10,21740,3,7.46409754573758e8,1.971885563302678e8
10,21740,4,1.5821426309951859e9,7.441222746536372e8
10,21740,5,3.1785421222458076e8,2.002601502496104e8
10,21740,6,4.595951566418011e7,3.2860802752689853e7
10,21740,7,1.1341447385362996e7,7.439076187714025e6
10,21740,8,1.333502428052908e7,1.1926621567463495e7
10,21740,9,4.663943438481006e7,7.473621040030932e7
10,21740,10,1.824324865900875e7,2.1295666439968627e7
11,21740,1,3.610811443564936e9,1.1314258296799609e8
11,21740,2,5.045050764268379e9,5.668424910083944e8
11,21740,3,7.64609305589501e8,2.0801473761851397e8
11,21740,4,1.6680384951189952e9,7.811049107089539e8
11,21740,5,3.1801189373546565e8,2.0175575225978535e8
11,21740,6,5.381690467591084e7,3.841334802776083e7
11,21740,7,1.2594146926581133e7,7.40144265735126e6
11,21740,8,1.8971716786729846e7,1.6415379199095506e7
11,21740,9,5.307326629743894e7,8.788350109936933e7
11,21740,10,2.187158654473491e7,2.498975612723022e7
12,21740,1,4.659928034399566e9,1.450127249791459e8
12,21740,2,6.454268490833684e9,7.293935032896359e8
12,21740,3,9.933580423225964e8,2.70030330272932e8
12,21740,4,1.9244628532968028e9,8.948042305020233e8
12,21740,5,3.619921829898743e8,2.2755549436136487e8
12,21740,6,5.592572251732723e7,3.988183523505916e7
12,21740,7,1.068315565114333e7,6.699392132550392e6
12,21740,8,1.8524529498733513e7,1.598182874146901e7
12,21740,9,5.9725076467607625e7,9.609699915802354e7
12,21740,10,2.3882588828401793e7,2.84955768786365e7
13,21740,1,5.286327640841841e9,1.65913841484517e8
13,21740,2,7.64890930646272e9,8.638972439573671e8
13,21740,3,1.2092647628203566e9,3.282756725238829e8
13,21740,4,1.89975452947255e9,8.813857839012125e8
13,21740,5,3.6605136675662476e8,2.2870656760952368e8
13,21740,6,5.199508123122336e7,3.647113252561929e7
13,21740,7,1.5402067001923092e7,8.887827600561647e6
13,21740,8,2.2595949729995664e7,1.884737012135705e7
13,21740,9,7.615698654804522e7,1.2758542611648196e8
13,21740,10,2.6216647717796568e7,2.921003789225967e7
14,21740,1,4.853426942196266e9,1.5287830175331444e8
14,21740,2,6.694115848499166e9,7.592622502428343e8
14,21740,3,1.0799324097106538e9,2.8751871521056885e8
14,21740,4,2.1320394940079906e9,9.807916323726827e8
14,21740,5,3.818570304308815e8,2.3681464825027627e8
14,21740,6,5.32793867998319e7,3.803446547860281e7
14,21740,7,1.0254381599958392e7,7.038664453461647e6
14,21740,8,1.0664229554465625e7,8.633194689235961e6
14,21740,9,3.455019593382222e7,5.367898314847954e7
14,21740,10,1.3193252120114505e7,1.4657155161308503e7
15,21740,1,5.902692243963279e9,1.8461052984987843e8
15,21740,2,7.630934455366622e9,8.615870881520627e8
15,21740,3,1.1578502159346075e9,3.077303763782752e8
15,21740,4,2.4380357647025995e9,1.1364473071363268e9
15,21740,5,4.9794400878738403e8,3.111228080580918e8
15,21740,6,7.533899686310044e7,5.300653524799409e7
