age,i,n_age,biomass_age
01,1,1.6004764107236662e9,2.5073130452882957e7
03,1,1.4484168218515508e7,4.461425030812944e6
06,1,4.688221234634726e7,4.0371628703302965e7
10,1,8.103567603698812e7,1.1308157456861064e8
07,1,3.642956966369648e7,3.490062530104133e7
04,1,3.0624924045013927e7,1.7198978107216932e7
08,1,1.1268921000717962e7,1.2149709374312172e7
05,1,6.510633077911068e7,4.659467467952657e7
09,1,1.7420613354739297e7,2.072409369698455e7
02,1,1.4483839834203416e8,1.00336536266938e7
04,2,2.7370854401973862e7,1.5325907498676453e7
10,2,7.558471231485085e7,1.0555963531303146e8
03,2,5.746767042487461e6,1.8052126748660754e6
09,2,2.4220677911757573e7,2.8567849449516732e7
01,2,1.4255983682298102e9,2.089689026168088e7
05,2,6.010783145519499e7,4.3176883615054086e7
07,2,2.083531848412468e7,2.0411875107714284e7
06,2,4.3778619178376235e7,3.8070534518040285e7
08,2,1.3652941337419596e7,1.463851500860382e7
02,2,1.2230494156175034e8,8.128671318621539e6
07,3,3.385613334195048e7,3.1849586744952995e7
01,3,1.62136192669828e9,3.790744382107034e7
04,3,2.488963929088249e7,1.353015974405437e7
05,3,5.9366543082633026e7,4.141239382161427e7
10,3,8.46644666663551e7,1.1692660231763883e8
08,3,1.3943205520946208e7,1.5066675323450293e7
09,3,9.898624179653196e6,1.1912205037044382e7
06,3,5.0751731638378516e7,4.308440440764281e7
03,3,1.106897883489207e7,3.2796986663529375e6
02,3,1.2484122342300606e8,8.774104107860833e6
06,4,5.0889695146725066e7,4.3277776234770685e7
04,4,2.128672328557263e7,1.1425413837986125e7
05,4,4.100957997558533e7,2.9004597527914703e7
01,4,6.959361970815927e8,9.944782417108815e6
09,4,1.944091340981043e7,2.352076378191783e7
10,4,6.964886027944985e7,9.682155987224536e7
07,4,4.792270956694458e7,4.4855198526899904e7
03,4,5.087933105972861e6,1.6544182435587994e6
08,4,1.2311110701005854e7,1.3244496965363983e7
02,4,1.7633878164385545e8,1.1735677363401746e7
01,5,1.783830263517967e9,3.339081708900431e7
03,5,6.943282706337254e6,1.9839563412108151e6
10,5,7.949176762417035e7,1.112294788116023e8
06,5,6.070281988187741e7,5.23336663677755e7
09,5,1.882663993768968e7,2.27762032687508e7
07,5,2.772483607392088e7,2.7433294643652868e7
05,5,5.820174855340884e7,4.117334453017964e7
04,5,3.2525149703311183e7,1.8606630078019306e7
08,5,1.3320588421597034e7,1.429656023588042e7
02,5,1.7538011053636128e8,1.1702594781312529e7
04,6,3.273583964827262e7,1.8337917330028e7
03,6,1.804474718544118e7,5.630920168435943e6
10,6,8.310920748229112e7,1.1460629885328865e8
09,6,2.2889066208227035e7,2.60514013677855e7
02,6,2.4651643149223888e8,1.605017199094667e7
05,6,4.7646196018753774e7,3.424089859272414e7
01,6,1.7183447892295501e9,3.1097801604890823e7
08,6,1.4792821965449926e7,1.5240900999299362e7
07,6,2.762237473246346e7,2.5875692767898224e7
06,6,5.096327235660509e7,4.309027118194282e7
05,7,5.106690381004805e7,3.639147506415377e7
03,7,8.944370887505705e6,2.817507763159473e6
02,7,1.1786216545169003e8,8.338490571186547e6
06,7,7.306011770821416e7,6.300270983764762e7
04,7,3.341436494254315e7,1.83495722743837e7
08,7,1.4436083418833781e7,1.571037664260979e7
10,7,7.400795858475147e7,1.02197380040354e8
01,7,1.6096270798596013e9,2.519933792558712e7
07,7,9.59554583602877e6,9.235920235212488e6
09,7,1.6544253361302802e7,2.003726228982491e7
03,8,1.452271343394855e7,4.566962380034756e6
01,8,1.4575100431514874e9,4.0146373623068705e7
06,8,5.472540488305358e7,4.6766978042710714e7
07,8,3.2858482099868722e7,3.1838528200649813e7
10,8,8.923431474722314e7,1.2059237503562936e8
05,8,6.251643725407996e7,4.310191708595806e7
04,8,2.9608149183990307e7,1.6520414176040977e7
08,8,6.006342293659372e6,6.45917133862064e6
02,8,1.6668175394086272e8,1.2203893555009732e7
09,8,1.5384747557725312e7,1.8222730619216938e7
01,9,1.3967404972738879e9,2.2030649963493876e7
10,9,9.537407748700991e7,1.284587516477366e8
03,9,8.423998324040363e6,2.6140109573476748e6
05,9,5.568508880702394e7,3.939811274088464e7
07,9,3.818147989500114e7,3.585496423336187e7
04,9,3.4404370776541226e7,1.903207488271486e7
02,9,2.497300455139648e8,1.747376120246495e7
06,9,4.953327762692774e7,4.175416690632398e7
08,9,1.024797001043906e7,1.127566640802497e7
09,9,1.1380883047513587e7,1.3429679970604148e7
04,10,2.2707356788563605e7,1.250062628928942e7
01,10,1.2983247450485926e9,2.6145998396865685e7
05,10,4.981130149699734e7,3.475368796731772e7
06,10,6.243071100606434e7,5.274079389618105e7
07,10,2.0768543400220018e7,1.9649318983169563e7
03,10,7.7592477762811035e6,2.3263605063703037e6
10,10,7.855445865855245e7,1.0754360348854488e8
09,10,1.7247763583148673e7,2.0228303816906244e7
02,10,9.303594131876421e7,6.289669951971433e6
08,10,1.8920999901492417e7,2.0286643052379165e7
02,11,1.8323257972429955e8,1.2933260901335727e7
03,11,1.2517004655286312e7,4.03887036362427e6
04,11,2.4520990255159806e7,1.3809883442734355e7
05,11,6.26044982260441e7,4.343114453862701e7
01,11,1.7987776730317006e9,2.7470756233887512e7
06,11,6.050337161121282e7,5.1019611973402016e7
09,11,2.2069649728020597e7,2.648770850623633e7
10,11,8.245338514419426e7,1.146646476983119e8
08,11,1.5221484160749376e7,1.652309155588321e7
07,11,3.507854168615486e7,3.3494134916325998e7
10,12,7.752402269532393e7,1.0591146566539131e8
02,12,1.6242609838975215e8,1.1795216410304517e7
05,12,4.596930743436689e7,3.283612251944075e7
07,12,2.8965321019887365e7,2.753354655138426e7
04,12,3.069117126331776e7,1.7387414208776075e7
01,12,1.432516191482937e9,3.3293632084558018e7
06,12,3.835840376115422e7,3.324686914575852e7
03,12,7.406143335878344e6,2.3368889935833747e6
09,12,2.2490897214503985e7,2.649954026523099e7
08,12,1.1712240921062425e7,1.2372097541649941e7
09,13,1.4287691181186013e7,1.7935958920916744e7
06,13,4.6194527386153564e7,3.978366038899226e7
07,13,2.37972094498548e7,2.3018137541801676e7
05,13,5.591757432565498e7,3.8649804010929696e7
10,13,7.633954221776757e7,1.0582916535603006e8
04,13,2.4045399152627338e7,1.336921110034749e7
03,13,1.43012506498745e7,4.403526041014509e6
01,13,1.3113714259146502e9,2.1463827172581516e7
08,13,1.7277957412749548e7,1.9012201079832125e7
02,13,1.3543362641742384e8,9.432441009628959e6
05,14,4.9288659977660365e7,3.434386946878945e7
01,14,1.2344639452818296e9,2.3982028230080765e7
08,14,1.734111554787789e7,1.8239421367446486e7
07,14,3.429634910687903e7,3.239864103327088e7
10,14,8.28763845163362e7,1.1603265789065424e8
06,14,4.881526547802983e7,4.147725729667801e7
03,14,1.1099021662775787e7,3.6034933915984184e6
04,14,2.0728253601523932e7,1.1421780630718634e7
09,14,1.8122683536554504e7,2.143747928799482e7
02,14,9.729884730997889e7,7.047491586408817e6
09,15,8.384111470884312e6,1.0094461539451769e7
05,15,7.32337883361557e7,5.1699908248673834e7
10,15,9.241336575811712e7,1.2676227875188538e8
03,15,1.0317866674376106e7,3.162144280834198e6
04,15,1.995780699205644e7,1.123255544424428e7
01,15,1.6041835206153696e9,2.2979607165706232e7
06,15,5.402133775527892e7,4.576064197225404e7
07,15,1.9910713717678875e7,1.886933274921476e7
02,15,1.5930864281559554e8,1.1264440105181085e7
08,15,1.0379865151831362e7,1.1321327907733073e7
10,16,7.38090351644377e7,1.0414897861165886e8
07,16,2.5485111938448325e7,2.489999459476583e7
05,16,5.506745344034599e7,3.899251403327315e7
01,16,1.4524095470500567e9,3.9180929143935e7
03,16,8.71361756607079e6,2.7168203694582214e6
06,16,5.230636413524907e7,4.5813053189318806e7
04,16,2.2262851136709712e7,1.2444698227972863e7
02,16,1.365246211718995e8,9.401826073899783e6
09,16,7.923433914151786e6,9.832229836478231e6
08,16,1.153585941009189e7,1.2650860114650771e7
04,17,3.9915817822824545e7,2.2805490936245155e7
07,17,1.926426495179204e7,1.8372927915834103e7
03,17,8.7357827925607e6,2.8080665635526986e6
10,17,8.083478893804598e7,1.114307335871677e8
05,17,3.252271301275333e7,2.34593773497132e7
01,17,1.3255978636206536e9,3.530093867620722e7
06,17,5.9535785948169656e7,5.100671222092284e7
02,17,1.9401534482359496e8,1.310546981704143e7
08,17,1.126909358998842e7,1.1815086145710135e7
09,17,1.5076853082537072e7,1.784337070734215e7
04,18,2.797298885109282e7,1.5512814636689475e7
07,18,5.342937549674615e7,5.137271484799271e7
03,18,1.5338950250080092e7,4.785398196135842e6
01,18,1.3702707990667982e9,2.047583206951368e7
09,18,2.2075626029625002e7,2.6084152120345253e7
05,18,5.803058256688521e7,4.04642245679242e7
10,18,7.729030278837144e7,1.11013044138416e8
06,18,4.701564890350376e7,4.027012385596188e7
02,18,1.9447436792073295e8,1.2808314589217221e7
08,18,2.0546079197379168e7,2.1851602138179343e7
01,19,1.5760016230210316e9,4.850372229507532e7
04,19,2.5296535997994546e7,1.4114645574723005e7
07,19,2.778984230993053e7,2.619499972158372e7
06,19,4.144590364488225e7,3.503538884003486e7
05,19,4.8602545033973984e7,3.433926297767062e7
10,19,7.590520482404895e7,1.0494477462348701e8
08,19,2.2465475259214938e7,2.3880139021981403e7
09,19,1.9350598628817324e7,2.2697727183266483e7
02,19,1.8797917254940692e8,1.3317882239220621e7
03,19,1.2080041753642429e7,3.817144257981645e6
03,20,1.1617254841025991e7,3.5030192829876477e6
05,20,5.192542914929758e7,3.671403482226756e7
10,20,7.625478687031211e7,1.0404376346438286e8
04,20,2.6844325169507172e7,1.4992698469215367e7
07,20,3.068572194347317e7,2.8590768487954672e7
02,20,1.79910380417773e8,1.1882871477752782e7
06,20,5.556944453331153e7,4.693051106999984e7
01,20,1.4901668797798798e9,2.1362359322508052e7
09,20,1.6637796002588406e7,1.980195831856403e7
08,20,4.371936627811814e6,4.671392903070209e6
06,21,8.728005107966802e7,7.548177084475966e7
03,21,1.3019633846868863e7,4.02601997331833e6
01,21,1.828973862153582e9,4.201651705188868e7
02,21,2.869697382532735e8,1.97543494025313e7
04,21,3.439126303869971e7,1.88749021405181e7
05,21,6.971968081461008e7,4.890175203762728e7
10,21,8.506000426692773e7,1.1956095252772753e8
09,21,2.362008890655697e7,2.902021062155664e7
08,21,1.267361781875556e7,1.4159068659538552e7
07,21,2.1573598593645055e7,2.0988586689789914e7
10,22,8.966630193688099e7,1.2494525009962642e8
05,22,6.796350123235184e7,4.662148808015079e7
04,22,1.8453076873421863e7,9.61873186101441e6
06,22,6.713169612764323e7,5.660407034472187e7
07,22,2.632357931761611e7,2.4784799504636694e7
03,22,9.93506307518021e6,3.0618033232720643e6
09,22,1.5765407256806122e7,1.8824750210947584e7
01,22,1.5357975314681995e9,3.1000133672582746e7
02,22,1.3397207121697941e8,9.58164401264441e6
08,22,1.4717171011865765e7,1.6079334574190501e7
01,23,1.3167124837909997e9,2.597483729486842e7
07,23,2.877081082698749e7,2.741162066275949e7
06,23,5.554091741926953e7,4.576850601215897e7
03,23,1.105433904790521e7,3.449560891344565e6
05,23,5.172173173250813e7,3.499254088719426e7
10,23,7.697277006416401e7,1.0551564895556746e8
04,23,1.896799157050933e7,1.0405390783415068e7
09,23,2.0936332287499323e7,2.408465817348775e7
02,23,1.472652132501038e8,1.0192966716540797e7
08,23,9.47013394480947e6,9.808315157330867e6
04,24,2.0354347200161394e7,1.1026351320387157e7
01,24,8.230218742623963e8,1.2459553588770287e7
02,24,1.4756283795912305e8,1.0366723512269726e7
05,24,6.152057741697655e7,4.205918852236928e7
10,24,8.532395089219105e7,1.1976819565035093e8
09,24,1.2930992419820078e7,1.4983013498464983e7
07,24,3.4792011669058464e7,3.383299859868732e7
06,24,7.817029562898718e7,6.711504616498776e7
03,24,7.108686234376328e6,2.290477634580773e6
08,24,1.148056403698647e7,1.2111673877363378e7
10,25,8.611846463831978e7,1.198278377374871e8
06,25,4.8326077434460096e7,4.126400029430992e7
03,25,2.1537657874688607e7,6.748031685051816e6
02,25,2.3060406841629234e8,1.5436284089097176e7
08,25,9.055419980436806e6,9.633697136822842e6
07,25,3.656683592037033e7,3.4920182589504905e7
05,25,6.69407655155209e7,4.8077840801611364e7
01,25,1.3437168923216093e9,2.6520353173430152e7
04,25,2.3410551064121146e7,1.3023403944094967e7
09,25,2.0963608466170415e7,2.428015504033945e7
06,26,4.766270949143082e7,3.988730672454342e7
05,26,4.1056401639512464e7,2.853379680235558e7
07,26,2.6968918543975517e7,2.5339825023942392e7
08,26,1.4856451830934267e7,1.5082573597421447e7
09,26,2.24876317516209e7,2.6470425422708552e7
04,26,2.472497996457183e7,1.3822356485313365e7
10,26,7.96291548732305e7,1.0777824666648836e8
03,26,8.167352238587396e6,2.5401746076402273e6
