age,n_mean_py,biomass_mean_py,n_mean_jl,biomass_mean_jl,n_rel_diff,biomass_rel_diff
1,76366754.52177608,2213361.015929674,175986300.09787574,4584571.166224096,-0.566064207956504,-0.5172152561975338
2,237211516.141011,43411244.3010311,258036090.9329157,47073483.671757735,-0.08070411668621452,-0.07779835026154733
3,850674488.6356943,239903080.7736579,911814789.76514,255561674.6367377,-0.06705342117251022,-0.06127129150072039
4,5529876183.226419,2117055761.0438504,5845121235.312861,2233176038.1672254,-0.05393302198454202,-0.05199781617694377
5,713816083.9889228,345806783.5968124,737627336.6558102,358424924.7331252,-0.032280870683075225,-0.035204418737642074
6,173036068.78745496,100338282.09812704,169274453.532724,98101745.94570096,0.02222199024263149,0.02279812791164793
7,139430441.78643626,101423741.64768817,136225647.97742417,99065887.0756668,0.023525627197186802,0.02380087274866301
8,223876384.32652578,176710673.3660995,216053356.94751546,170654468.28045812,0.03620877495048929,0.03548811318370202
9,107254279.14755957,87763619.32323702,102117779.13722609,84970200.24064061,0.05029976223269641,0.03287527950605364
10,61270592.59312018,65870366.1834422,55688236.36497897,58762773.35997832,0.10024300628870021,0.12095400569205711
