specimen_id,species_code,event_id,organism_weight,fork_length
4768,21740,33,0.664,46.0
4796,21740,33,0.992,54.0
5755,21740,37,0.016,14.0
5770,21740,40,1.204,56.0
5771,21740,40,0.904,50.0
5772,21740,40,1.046,56.0
5773,21740,40,0.634,46.0
5774,21740,40,1.11,58.0
5775,21740,40,0.826,50.0
5776,21740,40,0.962,53.0
5777,21740,40,0.848,50.0
5778,21740,40,0.616,44.0
5779,21740,40,0.622,45.0
5780,21740,40,1.26,59.0
5781,21740,40,1.032,55.0
5782,21740,40,1.21,56.0
5783,21740,40,1.116,59.0
5784,21740,40,0.966,52.0
5785,21740,40,0.836,51.0
5786,21740,40,0.75,48.0
5787,21740,40,0.804,49.0
5788,21740,40,1.288,55.0
5789,21740,40,0.872,50.0
5790,21740,40,0.522,44.0
5791,21740,40,1.112,55.0
5792,21740,40,0.662,46.0
5793,21740,40,0.83,50.0
2588,21740,21,0.738,47.0
2589,21740,21,0.634,47.0
2590,21740,21,1.11,53.0
2591,21740,21,1.12,53.0
2592,21740,21,0.024,16.0
2593,21740,21,0.014,14.0
2594,21740,21,0.594,45.0
2595,21740,21,1.018,54.0
2596,21740,21,0.98,54.0
2597,21740,21,1.276,57.0
3671,21740,25,1.312,55.0
3672,21740,25,1.022,55.0
3673,21740,25,1.382,60.0
3674,21740,25,0.588,46.0
3675,21740,25,0.74,51.0
3676,21740,25,0.898,50.0
3677,21740,25,0.764,51.0
3678,21740,25,0.528,42.0
3679,21740,25,0.792,50.0
3680,21740,25,0.9,49.0
3681,21740,25,0.912,52.0
3682,21740,25,0.838,52.0
3683,21740,25,0.942,53.0
3684,21740,25,0.588,49.0
3685,21740,25,0.554,45.0
3686,21740,25,0.872,54.0
3687,21740,25,0.722,50.0
3688,21740,25,0.632,51.0
3689,21740,25,0.852,51.0
3690,21740,25,1.016,58.0
3691,21740,25,0.534,44.0
3692,21740,25,0.734,47.0
3693,21740,25,0.728,48.0
3694,21740,25,1.078,57.0
3695,21740,25,1.958,65.0
3696,21740,25,0.806,51.0
3697,21740,25,1.178,55.0
3698,21740,25,1.36,60.0
3699,21740,25,1.306,59.0
4855,21740,33,1.206,55.0
4856,21740,33,0.922,53.0
4857,21740,33,1.252,60.0
4858,21740,33,1.004,53.0
4859,21740,33,1.13,57.0
4860,21740,33,0.9,53.0
4861,21740,33,0.79,47.0
4862,21740,33,1.062,56.0
4863,21740,33,1.37,58.0
4864,21740,33,0.97,53.0
4865,21740,33,1.084,56.0
4866,21740,33,1.206,60.0
4867,21740,33,1.004,52.0
4868,21740,33,1.144,57.0
5794,21740,40,1.096,54.0
5795,21740,40,0.982,52.0
5796,21740,40,1.064,54.0
5797,21740,40,0.82,51.0
5798,21740,40,0.782,49.0
5799,21740,40,1.242,60.0
5800,21740,40,0.472,42.0
5801,21740,40,0.088,24.0
5802,21740,40,0.026,18.0
2702,21740,21,0.668,46.0
2703,21740,21,1.0,53.0
2704,21740,21,0.792,49.0
2705,21740,21,1.056,56.0
2706,21740,21,1.044,57.0
2707,21740,21,1.264,56.0
2709,21740,22,0.728,47.0
2710,21740,22,0.694,46.0
2711,21740,22,0.53,44.0
2712,21740,22,1.032,52.0
2713,21740,22,0.612,46.0
2714,21740,22,0.526,43.0
2715,21740,22,1.33,60.0
2716,21740,22,0.61,45.0
2717,21740,22,0.832,51.0
2718,21740,22,0.582,46.0
3700,21740,25,0.788,48.0
3701,21740,25,1.196,55.0
3702,21740,25,0.794,49.0
3703,21740,25,1.156,56.0
3704,21740,25,1.18,55.0
3705,21740,25,0.7,46.0
3706,21740,25,0.934,50.0
3707,21740,25,0.98,52.0
3708,21740,25,0.596,50.0
3709,21740,25,0.78,48.0
3710,21740,25,0.906,53.0
3711,21740,25,1.392,59.0
3712,21740,25,0.974,56.0
3713,21740,25,0.718,47.0
3714,21740,25,0.974,54.0
3715,21740,25,0.892,53.0
3716,21740,25,0.904,51.0
3717,21740,25,0.97,51.0
