"","survey","transect","interval","class","nasc","start_longitude","start_latitude","start_vessel_log","mean_bottom_depth","start_longitute"
"1",200909,1,1854,"MIX2",0.924414,-160.9651024,57.1717638,926.504905,64.38,-160.9651024
"2",200909,1,1855,"MIX2",0,-160.9692405,57.163931,927.002002,63.92,-160.9692405
"3",200909,1,1856,"MIX2",0,-160.9699132,57.1554318,927.507074,67.05,-160.9699132
"4",200909,1,1857,"MIX2",3.668564,-160.9707879,57.1471526,928.001416,67.41,-160.9707879
"5",200909,1,1858,"MIX2",0.324445,-160.971715,57.1387726,928.501775,71.36,-160.971715
"6",200909,1,1859,"MIX2",1.530606,-160.9724948,57.130371,929.003918,72.33,-160.9724948
"7",200909,1,1860,"MIX2",60.510914,-160.9732889,57.1220554,929.5003,70.73,-160.9732889
"8",200909,1,1861,"MIX2",8.136068,-160.9741025,57.1136664,930.000634,74.35,-160.9741025
"9",200909,1,1862,"MIX2",2.982205,-160.9748569,57.1052922,930.50286,73.42,-160.9748569
"10",200909,1,1863,"MIX2",0.94491,-160.9756907,57.0969189,931.003984,74.5,-160.9756907
"11",200909,1,1864,"MIX2",18.376149,-160.9764451,57.0886234,931.500265,68.57,-160.9764451
"12",200909,1,1865,"MIX2",4.51519,-160.9771331,57.0802644,932.000267,66.82,-160.9771331
"13",200909,1,1866,"MIX2",0.336972,-160.9778461,57.0718409,932.502585,64.72,-160.9778461
"14",200909,1,1867,"MIX2",0.648422,-160.9785272,57.0634453,933.003537,64.99,-160.9785272
"15",200909,1,1868,"MIX2",1.123762,-160.9792107,57.055079,933.502898,64.48,-160.9792107
"16",200909,1,1869,"MIX2",1.198534,-160.9797692,57.046733,934.003556,64.68,-160.9797692
"17",200909,1,1870,"MIX2",4.174463,-160.9802,57.0384212,934.500567,66.3,-160.9802
"18",200909,1,1871,"MIX2",6.431249,-160.9807463,57.0300289,935.001548,63.32,-160.9807463
"19",200909,1,1872,"MIX2",7.159412,-160.9813955,57.0216118,935.503904,63.94,-160.9813955
"20",200909,1,1873,"MIX2",4.352948,-160.9822189,57.013252,936.004248,65.66,-160.9822189
"21",200909,1,1874,"MIX2",8.133476,-160.9830363,57.0048966,936.502618,63.96,-160.9830363
"22",200909,1,1875,"MIX2",16.491556,-160.9837536,56.996576,937.000679,66.33,-160.9837536
"23",200909,1,1876,"MIX2",4.092566,-160.9842944,56.9881614,937.503897,65.15,-160.9842944
"24",200909,1,1877,"MIX2",5.655395,-160.9849946,56.9797762,938.003679,60.07,-160.9849946
"25",200909,1,1878,"MIX2",0.886019,-160.9855935,56.9713802,938.504685,62.11,-160.9855935
"26",200909,1,1879,"MIX2",1.314387,-160.9862376,56.9630446,939.003712,67.25,-160.9862376
"27",200909,1,1880,"MIX2",2.539455,-160.9869449,56.9547062,939.502216,67.83,-160.9869449
"28",200909,1,1881,"MIX2",13.172251,-160.9874319,56.9463214,940.003116,72.03,-160.9874319
"29",200909,1,1882,"MIX2",24.853799,-160.9881174,56.9379381,940.503437,73.16,-160.9881174
"30",200909,1,1883,"MIX2",34.404333,-160.9887966,56.9295739,941.003457,71.45,-160.9887966
"31",200909,1,1884,"MIX2",9.366464,-160.9895295,56.9212244,941.503136,73.25,-160.9895295
"32",200909,1,1885,"MIX2",25.831172,-160.9900503,56.9128787,942.001134,73.47,-160.9900503
"33",200909,1,1886,"MIX2",9.602603,-160.9904736,56.9044912,942.501535,75.06,-160.9904736
"34",200909,1,1887,"MIX2",3.990378,-160.9911129,56.8961052,943.001856,76.02,-160.9911129
"35",200909,1,1897,"MIX2",2.729733,-160.9922537,56.8902301,948.00596,76.35,-160.9922537
"36",200909,1,1898,"MIX2",5.26124,-160.9922035,56.8818913,948.502041,75.73,-160.9922035
"37",200909,1,1899,"MIX2",0.631974,-160.9930043,56.8734346,949.007855,76.13,-160.9930043
"38",200909,1,1900,"MIX2",0.35724,-160.9936272,56.8651625,949.502088,77.95,-160.9936272
"39",200909,1,1901,"MIX2",0.190568,-160.9940985,56.8567411,950.005303,78.21,-160.9940985
"40",200909,1,1902,"MIX2",16.533868,-160.9945732,56.84837,950.504807,75.94,-160.9945732
"41",200909,1,1903,"MIX2",25.619713,-160.9952086,56.8399969,951.004544,74.83,-160.9952086
"42",200909,1,1904,"MIX2",0.310876,-160.9959672,56.8316413,951.503812,73,-160.9959672
"43",200909,1,1905,"MIX2",5.777134,-160.9967853,56.8232762,952.00297,72.6,-160.9967853
"44",200909,1,1906,"MIX2",8.405139,-160.9975395,56.8147784,952.508627,72.41,-160.9975395
"45",200909,1,1907,"MIX2",16.118876,-160.9980823,56.8064469,953.004044,70.12,-160.9980823
"46",200909,1,1908,"MIX2",4.20152,-160.9985841,56.7980622,953.502568,70.86,-160.9985841
"47",200909,1,1909,"MIX2",3.501453,-160.9989424,56.789631,954.005272,71.58,-160.9989424
"48",200909,1,1910,"MIX2",3.957076,-160.999552,56.7812066,954.507491,74.6,-160.999552
"49",200909,1,1911,"MIX2",8.127113,-161.0003417,56.7728133,955.008448,71.52,-161.0003417
"50",200909,1,1912,"MIX2",11.341183,-161.0009399,56.7645843,955.500166,70.74,-161.0009399
"51",200909,1,1913,"MIX2",7.30368,-161.001513,56.7560682,956.008034,68.97,-161.001513
"52",200909,1,1914,"MIX2",10.832901,-161.0020815,56.7477216,956.506496,68.37,-161.0020815
"53",200909,1,1915,"MIX2",14.69717,-161.0026763,56.7394382,957.001515,67.25,-161.0026763
"54",200909,1,1916,"MIX2",6.101096,-161.0033444,56.7309978,957.505005,68.32,-161.0033444
"55",200909,1,1917,"MIX2",18.935024,-161.0040729,56.7225472,958.008847,68.16,-161.0040729
"56",200909,1,1918,"MIX2",7.081496,-161.0048099,56.7142383,958.503248,67.9,-161.0048099
"57",200909,1,1919,"MIX2",8.411506,-161.0055991,56.7058818,959.00135,68.28,-161.0055991
"58",200909,1,1920,"MIX2",55.15087,-161.0063889,56.6974982,959.501171,67.67,-161.0063889
"59",200909,1,1921,"MIX2",28.217319,-161.0071528,56.6890705,960.003971,66.57,-161.0071528
"60",200909,1,1922,"MIX2",9.000503,-161.007695,56.6807399,960.50007,69.36,-161.007695
"61",200909,1,1923,"MIX2",27.252583,-161.0081674,56.6723225,961.002601,68.95,-161.0081674
"62",200909,1,1924,"MIX2",10.05167,-161.0086701,56.6639061,961.504511,65.96,-161.0086701
"63",200909,1,1925,"MIX2",9.855669,-161.0091667,56.6555625,962.001375,66.21,-161.0091667
"64",200909,1,1926,"MIX2",7.671681,-161.009615,56.6471912,962.500035,70.49,-161.009615
"65",200909,1,1927,"MIX2",18.332946,-161.010025,56.6387303,963.002905,67.87,-161.010025
"66",200909,1,1928,"MIX2",33.606541,-161.0105103,56.630845,963.502848,70.72,-161.0105103
"67",200909,1,1929,"MIX2",14.640655,-161.0118154,56.6230762,964.001183,69.17,-161.0118154
"68",200909,1,1930,"MIX2",21.66357,-161.0120199,56.6146781,964.501881,69.76,-161.0120199
"69",200909,1,1931,"MIX2",38.779549,-161.0122654,56.606289,965.001689,71.18,-161.0122654
"70",200909,1,1932,"MIX2",27.843781,-161.0130054,56.5971119,965.501213,72.24,-161.0130054
"71",200909,1,1933,"MIX2",49.165131,-161.0136648,56.5884472,966.001087,70.74,-161.0136648
"72",200909,1,1934,"MIX2",33.148501,-161.0144304,56.5800478,966.502437,71.41,-161.0144304
"73",200909,1,1935,"MIX2",504.050025,-161.01513,56.5716467,967.003655,70.87,-161.01513
"74",200909,1,1936,"MIX2",104.783157,-161.0158122,56.5632948,967.500568,71.42,-161.0158122
"75",200909,1,1937,"MIX2",68.445078,-161.0165188,56.5548987,968.002188,68.92,-161.0165188
"76",200909,1,1938,"MIX2",14.492728,-161.0173033,56.5465359,968.500265,68.74,-161.0173033
"77",200909,1,1939,"MIX2",105.368048,-161.0180745,56.5381581,969.000597,70.43,-161.0180745
"78",200909,1,1940,"MIX2",13.307205,-161.0185467,56.5297607,969.502643,67.74,-161.0185467
"79",200909,1,1941,"MIX2",9.793408,-161.0189975,56.5213943,970.002896,67.61,-161.0189975
"80",200909,1,1942,"MIX2",44.885969,-161.0197109,56.5129905,970.503194,69.17,-161.0197109
"81",200909,1,1943,"MIX2",92.274099,-161.0204765,56.5046465,971.000887,67.31,-161.0204765
"82",200909,1,1944,"MIX2",118.354454,-161.0211331,56.4962637,971.500775,66.29,-161.0211331
"83",200909,1,1945,"MIX2",51.890489,-161.0216338,56.4877971,972.004401,65.39,-161.0216338
"84",200909,1,1946,"MIX2",77.743982,-161.022007,56.4793929,972.504194,65.08,-161.022007
"85",200909,1,1947,"MIX2",21.161237,-161.0224371,56.4710534,973.00105,66.31,-161.0224371
"86",200909,1,1948,"MIX2",32.730435,-161.0230718,56.4626172,973.50287,63.26,-161.0230718
"87",200909,1,1949,"MIX2",37.679726,-161.0237933,56.454259,974.00161,62.43,-161.0237933
"88",200909,1,1950,"MIX2",47.294423,-161.0246314,56.4458834,974.502502,61.49,-161.0246314
"89",200909,1,1951,"MIX2",70.566243,-161.0254579,56.4374913,975.003457,60.95,-161.0254579
"90",200909,1,1952,"MIX2",152.334333,-161.0260693,56.4291772,975.501226,62.88,-161.0260693
"91",200909,1,1953,"MIX2",143.156261,-161.0266062,56.4207452,976.003589,61.95,-161.0266062
"92",200909,1,1954,"MIX2",19.286144,-161.0271452,56.4123695,976.50266,58.55,-161.0271452
"93",200909,1,1955,"MIX2",32.264054,-161.0277656,56.4040315,977.00063,61.11,-161.0277656
"94",200909,1,1956,"MIX2",5.040416,-161.0283817,56.3956644,977.500099,58.43,-161.0283817
"95",200909,1,1957,"MIX2",15.265098,-161.0289517,56.3872773,978.000529,58.96,-161.0289517
"96",200909,1,1958,"MIX2",163.417349,-161.0294182,56.3789224,978.500232,58.24,-161.0294182
"97",200909,1,1959,"MIX2",77.031126,-161.0300304,56.370505,979.002896,56.19,-161.0300304
"98",200909,1,1960,"MIX2",82.989726,-161.0307493,56.3621839,979.500823,54.39,-161.0307493
"99",200909,1,1961,"MIX2",266.595948,-161.0314802,56.3537848,980.003215,53.56,-161.0314802
"100",200909,1,1962,"MIX2",370.786877,-161.0321694,56.3454698,980.501072,52.89,-161.0321694
"101",200909,1,1963,"MIX2",703.418231,-161.0328322,56.3370682,981.003812,52.34,-161.0328322
"102",200909,1,1964,"MIX2",450.74264,-161.0334215,56.3287322,981.50126,51.91,-161.0334215
"103",200909,1,1965,"MIX2",352.454493,-161.0340228,56.3202975,982.003525,52.2,-161.0340228
"104",200909,1,1966,"MIX2",243.311845,-161.0346498,56.3119235,982.504159,52.72,-161.0346498
"105",200909,1,1967,"MIX2",880.608264,-161.0352942,56.3036203,983.0005,49.36,-161.0352942
"106",200909,1,1968,"MIX2",1231.657442,-161.0359518,56.2952494,983.500568,51.18,-161.0359518
"107",200909,1,1969,"MIX2",451.173241,-161.0365462,56.2868782,984.000745,48.47,-161.0365462
"108",200909,1,1970,"MIX2",313.26256,-161.0369549,56.2784846,984.500829,49.17,-161.0369549
"109",200909,1,1971,"MIX2",1459.475917,-161.0373073,56.2700328,985.003424,50.09,-161.0373073
"110",200909,1,1972,"MIX2",336.067324,-161.0376233,56.2617008,985.5,46.75,-161.0376233
"111",200909,1,1973,"MIX2",153.538193,-161.0380138,56.2532682,986.000988,46.78,-161.0380138
"112",200909,1,1974,"MIX2",445.453229,-161.0388556,56.2449182,986.500497,45.84,-161.0388556
"113",200909,1,1975,"MIX2",475.094992,-161.0397145,56.2364831,987.004445,44.63,-161.0397145
"114",200909,1,1976,"MIX2",937.700131,-161.0404075,56.2281136,987.50461,42.95,-161.0404075
"115",200909,1,1977,"MIX2",582.365346,-161.0410742,56.2197413,988.003217,42.92,-161.0410742
"116",200909,1,1978,"MIX2",282.259172,-161.0417608,56.2114041,988.500322,40.44,-161.0417608
"117",200909,1,1979,"MIX2",16.521367,-161.042553,56.2029892,989.002799,37.6,-161.042553
"118",200909,1,1980,"MIX2",2.871625,-161.0431866,56.1946028,989.502094,37.58,-161.0431866
"119",200909,1,1981,"MIX2",6.315159,-161.0438695,56.1862384,990.000176,34.95,-161.0438695
"120",200909,1,1982,"MIX2",6.67254,-161.0444253,56.177782,990.503679,38.93,-161.0444253
"121",200909,1,1983,"MIX2",6.406905,-161.0449975,56.1694497,991.001163,38.47,-161.0449975
"122",200909,2,2027,"MIX2",87.251662,-161.6538269,56.0458724,1013.000263,41.8,-161.6538269
"123",200909,2,2028,"MIX2",531.481356,-161.657605,56.0536332,1013.504508,48.38,-161.657605
"124",200909,2,2029,"MIX2",308.646753,-161.6571012,56.0619343,1014.000958,49.26,-161.6571012
"125",200909,2,2030,"MIX2",272.932745,-161.6566253,56.0703387,1014.50284,49.03,-161.6566253
"126",200909,2,2031,"MIX2",71.565954,-161.6561038,56.0787461,1015.003301,50.77,-161.6561038
"127",200909,2,2032,"MIX2",42.045066,-161.6553683,56.0871045,1015.501284,49.47,-161.6553683
"128",200909,2,2033,"MIX2",22.183521,-161.6545627,56.0954847,1016.000425,50.7,-161.6545627
"129",200909,2,2034,"MIX2",23.426518,-161.6538494,56.1038995,1016.502679,53.1,-161.6538494
"130",200909,2,2035,"MIX2",52.238774,-161.6533248,56.1122843,1017.002788,54,-161.6533248
"131",200909,2,2036,"MIX2",51.00963,-161.6527327,56.1206578,1017.501054,56.89,-161.6527327
"132",200909,2,2037,"MIX2",131.876805,-161.65222,56.1291093,1018.00392,58.18,-161.65222
"133",200909,2,2038,"MIX2",67.130237,-161.6517908,56.1374672,1018.501646,56.3,-161.6517908
"134",200909,2,2039,"MIX2",57.144323,-161.6513849,56.1458663,1019.001668,59.11,-161.6513849
"135",200909,2,2040,"MIX2",106.532739,-161.6509507,56.1543042,1019.503904,57.98,-161.6509507
"136",200909,2,2054,"MIX2",0.468119,-161.6450724,56.1521532,1026.501152,56.71,-161.6450724
"137",200909,2,2055,"MIX2",167.813742,-161.6491491,56.1599648,1027.001668,57.05,-161.6491491
"138",200909,2,2056,"MIX2",42.623235,-161.6486379,56.1683293,1027.5,58.65,-161.6486379
"139",200909,2,2057,"MIX2",22.771952,-161.6481817,56.1767204,1028.001226,59.99,-161.6481817
"140",200909,2,2058,"MIX2",70.8773,-161.6477957,56.1851172,1028.500829,60.55,-161.6477957
"141",200909,2,2059,"MIX2",38.359993,-161.6474045,56.1935468,1029.00429,59.7,-161.6474045
"142",200909,2,2060,"MIX2",45.444476,-161.6469151,56.2018948,1029.500365,61.32,-161.6469151
"143",200909,2,2061,"MIX2",53.433586,-161.6463962,56.2103174,1030.002996,59.76,-161.6463962
"144",200909,2,2062,"MIX2",52.600524,-161.6459304,56.2186632,1030.501027,60.04,-161.6459304
"145",200909,2,2063,"MIX2",102.595398,-161.6454802,56.2270903,1031.002192,61.41,-161.6454802
"146",200909,2,2064,"MIX2",21.957176,-161.6449952,56.2354411,1031.500705,64.1,-161.6449952
"147",200909,2,2065,"MIX2",44.776034,-161.644491,56.2438638,1032.003195,63.22,-161.644491
"148",200909,2,2066,"MIX2",176.096185,-161.6440784,56.2522478,1032.501832,63.28,-161.6440784
"149",200909,2,2067,"MIX2",17.337296,-161.6436717,56.2606672,1033.004304,66.23,-161.6436717
"150",200909,2,2068,"MIX2",25.038309,-161.6430519,56.2690278,1033.503457,63.74,-161.6430519
"151",200909,2,2069,"MIX2",27.743239,-161.6424503,56.2773656,1034.000862,66.53,-161.6424503
"152",200909,2,2070,"MIX2",20.321664,-161.6417936,56.2858027,1034.502535,67.26,-161.6417936
"153",200909,2,2071,"MIX2",60.912987,-161.641138,56.2941785,1035.00191,64.75,-161.641138
"154",200909,2,2072,"MIX2",55.605757,-161.64052,56.3025514,1035.500691,63.21,-161.64052
"155",200909,2,2073,"MIX2",15.930719,-161.640002,56.3110075,1036.004538,64.12,-161.640002
"156",200909,2,2074,"MIX2",10.505455,-161.6394775,56.3194063,1036.503537,65,-161.6394775
"157",200909,2,2075,"MIX2",10.896022,-161.6390194,56.3277924,1037.003128,63.36,-161.6390194
"158",200909,2,2076,"MIX2",27.004465,-161.6386267,56.3361776,1037.502221,65.91,-161.6386267
"159",200909,2,2077,"MIX2",3.038554,-161.6381473,56.3445224,1038.000263,62.9,-161.6381473
"160",200909,2,2078,"MIX2",7.531367,-161.6375599,56.3529061,1038.5,64.8,-161.6375599
"161",200909,2,2079,"MIX2",22.669709,-161.6369136,56.3613932,1039.004544,65.74,-161.6369136
"162",200909,2,2080,"MIX2",23.473718,-161.6363719,56.3697897,1039.504478,65.6,-161.6363719
"163",200909,2,2081,"MIX2",11.826151,-161.6358294,56.3781541,1040.003787,65.52,-161.6358294
"164",200909,2,2082,"MIX2",7.800513,-161.6352833,56.3865754,1040.503754,64.88,-161.6352833
"165",200909,2,2083,"MIX2",20.276013,-161.6347378,56.3949572,1041.002436,66.13,-161.6347378
"166",200909,2,2084,"MIX2",30.479297,-161.6341776,56.4033511,1041.502055,65.6,-161.6341776
"167",200909,2,2085,"MIX2",7.960143,-161.6336435,56.4117582,1042.001558,65.73,-161.6336435
"168",200909,2,2086,"MIX2",4.874246,-161.6330366,56.4201883,1042.504248,64.99,-161.6330366
"169",200909,2,2087,"MIX2",8.772174,-161.6324897,56.428587,1043.003944,64.56,-161.6324897
"170",200909,2,2088,"MIX2",0.908374,-161.63192,56.4369396,1043.501268,66.42,-161.63192
"171",200909,2,2089,"MIX2",1.325748,-161.6313215,56.4453526,1044.002769,64.62,-161.6313215
"172",200909,2,2090,"MIX2",6.067539,-161.630771,56.4537018,1044.501168,65.66,-161.630771
"173",200909,2,2091,"MIX2",0.060382,-161.6301711,56.4620769,1045.000428,68.12,-161.6301711
"174",200909,2,2092,"MIX2",0.883509,-161.6295638,56.4704985,1045.501855,67.72,-161.6295638
"175",200909,2,2093,"MIX2",0.776641,-161.6289421,56.4788558,1046.000467,74.87,-161.6289421
"176",200909,2,2094,"MIX2",6.886036,-161.6283889,56.4873146,1046.504017,80.26,-161.6283889
"177",200909,2,2095,"MIX2",22.913888,-161.6278192,56.4956902,1047.002402,84.74,-161.6278192
"178",200909,2,2096,"MIX2",63.250148,-161.6272369,56.5041129,1047.504182,81.85,-161.6272369
"179",200909,2,2097,"MIX2",1.616258,-161.6265932,56.5124676,1048.002749,78.3,-161.6265932
"180",200909,2,2098,"MIX2",0.441676,-161.6258951,56.5208298,1048.501193,76.2,-161.6258951
"181",200909,2,2099,"MIX2",3.324523,-161.6251573,56.5292111,1049.001956,77.28,-161.6251573
"182",200909,2,2100,"MIX2",2.682355,-161.6244656,56.5375867,1049.501449,81.17,-161.6244656
"183",200909,2,2101,"MIX2",20.611214,-161.6237689,56.545964,1050.000634,84.61,-161.6237689
"184",200909,2,2102,"MIX2",7.260911,-161.6230374,56.5544163,1050.504898,88.07,-161.6230374
"185",200909,2,2103,"MIX2",5.480067,-161.6225731,56.5627809,1051.004083,92.19,-161.6225731
"186",200909,2,2104,"MIX2",1.886143,-161.6221846,56.5711443,1051.503149,92.15,-161.6221846
"187",200909,2,2105,"MIX2",8.132628,-161.6218045,56.5795039,1052.002272,89.78,-161.6218045
"188",200909,2,2106,"MIX2",11.867909,-161.621324,56.5878808,1052.503149,91.82,-161.621324
"189",200909,2,2107,"MIX2",19.297474,-161.6207181,56.5962739,1053.002769,87.43,-161.6207181
"190",200909,2,2108,"MIX2",4.553519,-161.6200912,56.6046867,1053.502869,87.45,-161.6200912
"191",200909,2,2109,"MIX2",15.567177,-161.6194956,56.6130241,1054.000234,88.31,-161.6194956
"192",200909,2,2110,"MIX2",0.739049,-161.6188791,56.621499,1054.504544,90.65,-161.6188791
"193",200909,2,2111,"MIX2",29.059424,-161.6182992,56.6298621,1055.003194,90.45,-161.6182992
"194",200909,2,2112,"MIX2",7.011003,-161.6177281,56.6382248,1055.502099,90.4,-161.6177281
"195",200909,2,2113,"MIX2",6.255992,-161.6171324,56.646618,1056.002769,89.68,-161.6171324
"196",200909,2,2114,"MIX2",41.940063,-161.6165036,56.6549661,1056.502074,89.38,-161.6165036
"197",200909,2,2115,"MIX2",2.226029,-161.6158201,56.6633069,1057.001167,91.75,-161.6158201
"198",200909,2,2116,"MIX2",9.217608,-161.6151296,56.6717107,1057.501301,88.87,-161.6151296
"199",200909,2,2117,"MIX2",4.801259,-161.6144688,56.6801379,1058.001485,86.44,-161.6144688
"200",200909,2,2118,"MIX2",0.265162,-161.6138949,56.6885233,1058.500834,81.8,-161.6138949
"201",200909,2,2119,"MIX2",0.69294,-161.6133967,56.696975,1059.003918,75.63,-161.6133967
"202",200909,2,2120,"MIX2",0.469855,-161.612941,56.7053239,1059.501937,73.06,-161.612941
"203",200909,2,2121,"MIX2",0.155377,-161.6125095,56.7137271,1060.002238,69.25,-161.6125095
"204",200909,2,2122,"MIX2",0.503501,-161.6120686,56.7221464,1060.50242,65.09,-161.6120686
"205",200909,2,2123,"MIX2",3.300748,-161.61163,56.7305664,1061.002585,66.83,-161.61163
"206",200909,2,2124,"MIX2",2.42618,-161.6112336,56.7389909,1061.503029,70.36,-161.6112336
"207",200909,2,2125,"MIX2",0.299796,-161.6108647,56.7473837,1062.003161,67.92,-161.6108647
"208",200909,2,2126,"MIX2",0.41951,-161.6104364,56.7557088,1062.5001,68.27,-161.6104364
"209",200909,2,2127,"MIX2",2.036574,-161.609976,56.7641222,1063.000772,69.46,-161.609976
"210",200909,2,2128,"MIX2",4.082112,-161.6094476,56.7725176,1063.501185,77.48,-161.6094476
"211",200909,2,2129,"MIX2",0.164759,-161.6089059,56.7809276,1064.001996,78.49,-161.6089059
