column1,survey,event_id,eqlongitude,eqlatitude,lla,utm,x,y,edsu_idx
1,200909,47,-171.53387667,57.58199667,"LLA(lat=57.58199667°, lon=-171.53387667°, alt=0.0)","UTM(109658.68164100149, 6.400994581326344e6, 0.0)",109.6586816410015,6400.994581326344,1839
2,200909,48,-171.337125,56.49103,"LLA(lat=56.49103°, lon=-171.337125°, alt=0.0)","UTM(110104.66305729066, 6.278740029973904e6, 0.0)",110.10466305729065,6278.740029973904,691
3,200909,46,-171.67567333,58.35358333,"LLA(lat=58.35358333°, lon=-171.67567333°, alt=0.0)","UTM(109701.90245978622, 6.487467179823938e6, 0.0)",109.70190245978621,6487.467179823938,1226
4,200909,49,-172.188885,57.6868,"LLA(lat=57.6868°, lon=-172.188885°, alt=0.0)","UTM(71850.6394299973, 6.416588826390638e6, 0.0)",71.8506394299973,6416.588826390638,1347
5,200909,50,-172.329065,58.39988,"LLA(lat=58.39988°, lon=-172.329065°, alt=0.0)","UTM(72153.59913666174, 6.496587730158962e6, 0.0)",72.15359913666174,6496.587730158963,1736
6,200909,51,-172.41830167,58.83500833,"LLA(lat=58.83500833°, lon=-172.41830167°, alt=0.0)","UTM(72321.99125470413, 6.545422204024804e6, 0.0)",72.32199125470413,6545.422204024804,1683
7,200909,52,-172.367115,58.82401833,"LLA(lat=58.82401833°, lon=-172.367115°, alt=0.0)","UTM(75130.48506713862, 6.543876440354956e6, 0.0)",75.13048506713862,6543.876440354957,2019
8,200909,53,-173.13270333,59.13286167,"LLA(lat=59.13286167°, lon=-173.13270333°, alt=0.0)","UTM(35302.20761584048, 6.583228093749661e6, 0.0)",35.30220761584048,6583.228093749661,3657
9,200909,54,-173.07102833,58.842295,"LLA(lat=58.842295°, lon=-173.07102833°, alt=0.0)","UTM(34901.262414204946, 6.5505959763378445e6, 0.0)",34.90126241420494,6550.595976337844,2027
10,200909,55,-172.981035,58.39076,"LLA(lat=58.39076°, lon=-172.981035°, alt=0.0)","UTM(34080.652950576274, 6.499921529257575e6, 0.0)",34.08065295057627,6499.9215292575755,1972
11,200909,56,-172.92507833,58.10467667,"LLA(lat=58.10467667°, lon=-172.92507833°, alt=0.0)","UTM(33583.59276753728, 6.467819301315805e6, 0.0)",33.58359276753728,6467.819301315805,1235
12,200909,57,-172.84380333,57.77192667,"LLA(lat=57.77192667°, lon=-172.84380333°, alt=0.0)","UTM(34046.177777260134, 6.430365562020337e6, 0.0)",34.046177777260134,6430.365562020337,1194
13,200909,58,-173.46734167,57.76390333,"LLA(lat=57.76390333°, lon=-173.46734167°, alt=0.0)","UTM(-2993.019398424658, 6.4339533886365015e6, 0.0)",-2.993019398424658,6433.953388636502,1367
14,200909,59,-173.53189333,58.065725,"LLA(lat=58.065725°, lon=-173.53189333°, alt=0.0)","UTM(-2565.045627943531, 6.467874836984548e6, 0.0)",-2.565045627943531,6467.874836984548,1235
15,200909,60,-173.68958333,58.75833167,"LLA(lat=58.75833167°, lon=-173.68958333°, alt=0.0)","UTM(-1835.0388894927455, 6.545775197506615e6, 0.0)",-1.8350388894927454,6545.775197506615,2021
16,200909,61,-173.813045,59.16706667,"LLA(lat=59.16706667°, lon=-173.813045°, alt=0.0)","UTM(-2926.6383612650097, 6.591968113157342e6, 0.0)",-2.9266383612650095,6591.9681131573425,2527
17,200909,63,-175.18758667,59.54136333,"LLA(lat=59.54136333°, lon=-175.18758667°, alt=0.0)","UTM(-74600.12417300767, 6.644546368866775e6, 0.0)",-74.60012417300767,6644.546368866775,2128
18,200909,64,-174.067515,59.654145,"LLA(lat=59.654145°, lon=-174.067515°, alt=0.0)","UTM(-9984.459414543526, 6.64783107193509e6, 0.0)",-9.984459414543526,6647.83107193509,2211
19,200909,65,-172.54657167,58.654485,"LLA(lat=58.654485°, lon=-172.54657167°, alt=0.0)","UTM(62679.62139294762, 6.526231556547352e6, 0.0)",62.679621392947624,6526.231556547352,2000
20,200909,66,-172.88423333,58.450015,"LLA(lat=58.450015°, lon=-172.88423333°, alt=0.0)","UTM(40490.3912474839, 6.505821891414617e6, 0.0)",40.4903912474839,6505.821891414617,1445
21,200909,67,-175.60089167,58.68048,"LLA(lat=58.68048°, lon=-175.60089167°, alt=0.0)","UTM(-113052.53944985534, 6.553137765733033e6, 0.0)",-113.05253944985533,6553.137765733033,1673
22,200909,62,-173.905405,59.63742167,"LLA(lat=59.63742167°, lon=-173.905405°, alt=0.0)","UTM(-1153.9910665872158, 6.644740528848977e6, 0.0)",-1.1539910665872157,6644.740528848977,2337
23,200909,1,-161.64548333,56.17396667,"LLA(lat=56.17396667°, lon=-161.64548333°, alt=0.0)","UTM(708227.8812198241, 6.230508036349244e6, 0.0)",708.2278812198241,6230.508036349244,980
24,200909,2,-161.63955,56.18086667,"LLA(lat=56.18086667°, lon=-161.63955°, alt=0.0)","UTM(708558.5872976476, 6.231293449138903e6, 0.0)",708.5585872976476,6231.293449138903,980
25,200909,3,-161.63393333,56.18631667,"LLA(lat=56.18631667°, lon=-161.63393333°, alt=0.0)","UTM(708877.3980136644, 6.231916650887092e6, 0.0)",708.8773980136644,6231.916650887091,980
26,200909,4,-162.86161667,55.80759167,"LLA(lat=55.80759167°, lon=-162.86161667°, alt=0.0)","UTM(634016.6763086005, 6.186734401177081e6, 0.0)",634.0166763086005,6186.734401177081,6
27,200909,5,-163.44749667,56.38558833,"LLA(lat=56.38558833°, lon=-163.44749667°, alt=0.0)","UTM(595855.4598295994, 6.250077483329207e6, 0.0)",595.8554598295993,6250.077483329207,846
28,200909,6,-163.44258167,56.39385333,"LLA(lat=56.39385333°, lon=-163.44258167°, alt=0.0)","UTM(596138.0680424672, 6.251004142021377e6, 0.0)",596.1380680424672,6251.0041420213765,845
