Column1,survey,event_id,latitude,longitude,lla,utm,x,y
1,201006,17,55.57068333,-165.40874667,"LLA(lat=55.57068333°, lon=-165.40874667°, alt=0.0)","UTM(474225.571526709, 6.158375314720674e6, 0.0)",474.225571526709,6158.375314720674
2,201006,18,56.103915,-165.42902833,"LLA(lat=56.103915°, lon=-165.42902833°, alt=0.0)","UTM(473314.3753524898, 6.21772807467336e6, 0.0)",473.31437535248983,6217.72807467336
3,201006,19,54.92793167,-165.93698,"LLA(lat=54.92793167°, lon=-165.93698°, alt=0.0)","UTM(439956.28929841274, 6.087173607520045e6, 0.0)",439.95628929841274,6087.173607520045
4,201006,20,55.032215,-166.53923667,"LLA(lat=55.032215°, lon=-166.53923667°, alt=0.0)","UTM(401620.2482042508, 6.099459305628824e6, 0.0)",401.6202482042508,6099.459305628824
5,201006,21,55.14183,-166.54517667,"LLA(lat=55.14183°, lon=-166.54517667°, alt=0.0)","UTM(401510.4141536986, 6.111664176922496e6, 0.0)",401.5104141536986,6111.664176922496
6,201006,22,55.12373833,-166.55451,"LLA(lat=55.12373833°, lon=-166.55451°, alt=0.0)","UTM(400870.73591775785, 6.109664372868792e6, 0.0)",400.8707359177578,6109.664372868792
7,201006,23,55.11569167,-166.55554,"LLA(lat=55.11569167°, lon=-166.55554°, alt=0.0)","UTM(400785.1140540554, 6.108770507533972e6, 0.0)",400.78511405405544,6108.770507533972
8,201006,24,56.38229667,-166.03461167,"LLA(lat=56.38229667°, lon=-166.03461167°, alt=0.0)","UTM(436113.2841446417, 6.249109859168338e6, 0.0)",436.11328414464174,6249.109859168338
9,201006,25,56.614565,-166.658175,"LLA(lat=56.614565°, lon=-166.658175°, alt=0.0)","UTM(398235.93040026317, 6.2757121341362605e6, 0.0)",398.23593040026316,6275.712134136261
10,201006,26,57.27015,-166.70187,"LLA(lat=57.27015°, lon=-166.70187°, alt=0.0)","UTM(397371.5598600692, 6.348740759947516e6, 0.0)",397.37155986006917,6348.740759947516
11,201006,27,57.26259,-166.69252333,"LLA(lat=57.26259°, lon=-166.69252333°, alt=0.0)","UTM(397914.21233857144, 6.347885284953007e6, 0.0)",397.9142123385714,6347.885284953007
12,201006,28,57.258155,-166.68442333,"LLA(lat=57.258155°, lon=-166.68442333°, alt=0.0)","UTM(398390.5014354583, 6.347379556651656e6, 0.0)",398.3905014354583,6347.379556651656
13,201006,29,56.92134667,-167.28619167,"LLA(lat=56.92134667°, lon=-167.28619167°, alt=0.0)","UTM(360840.76774729765, 6.310957501933957e6, 0.0)",360.84076774729766,6310.957501933957
14,201006,30,56.68884833,-167.26809833,"LLA(lat=56.68884833°, lon=-167.26809833°, alt=0.0)","UTM(361084.394494695, 6.285049113259137e6, 0.0)",361.084394494695,6285.049113259137
15,201006,31,56.462345,-167.85747167,"LLA(lat=56.462345°, lon=-167.85747167°, alt=0.0)","UTM(323947.5692980851, 6.261199719449566e6, 0.0)",323.9475692980851,6261.199719449566
16,201006,32,57.53923167,-168.61069667,"LLA(lat=57.53923167°, lon=-168.61069667°, alt=0.0)","UTM(283900.6890641706, 6.383161542000727e6, 0.0)",283.9006890641706,6383.1615420007265
17,201006,33,57.539795,-168.591125,"LLA(lat=57.539795°, lon=-168.591125°, alt=0.0)","UTM(285074.71390265634, 6.383162039764157e6, 0.0)",285.07471390265636,6383.162039764156
18,201006,34,57.54072,-168.57538167,"LLA(lat=57.54072°, lon=-168.57538167°, alt=0.0)","UTM(286021.84086669685, 6.383215172925586e6, 0.0)",286.02184086669683,6383.215172925586
19,201006,35,56.63582667,-168.477555,"LLA(lat=56.63582667°, lon=-168.477555°, alt=0.0)","UTM(286738.47832939104, 6.282257011275735e6, 0.0)",286.73847832939106,6282.257011275735
20,201006,36,56.63843833,-168.48439667,"LLA(lat=56.63843833°, lon=-168.48439667°, alt=0.0)","UTM(286333.88925466646, 6.282568804891288e6, 0.0)",286.3338892546665,6282.568804891288
21,201006,37,56.41686,-168.44650167,"LLA(lat=56.41686°, lon=-168.44650167°, alt=0.0)","UTM(287418.3943834688, 6.257805629779617e6, 0.0)",287.4183943834688,6257.805629779617
22,201006,38,55.88018667,-168.40908833,"LLA(lat=55.88018667°, lon=-168.40908833°, alt=0.0)","UTM(286771.93799852056, 6.197998934327136e6, 0.0)",286.77193799852057,6197.998934327135
23,201006,39,55.87817667,-168.38752,"LLA(lat=55.87817667°, lon=-168.38752°, alt=0.0)","UTM(288109.4308632367, 6.197709086696432e6, 0.0)",288.1094308632367,6197.709086696432
24,201006,40,55.87696333,-168.37652667,"LLA(lat=55.87696333°, lon=-168.37652667°, alt=0.0)","UTM(288790.1802450329, 6.197540508383368e6, 0.0)",288.7901802450329,6197.540508383368
25,201006,41,55.87653,-168.40811833,"LLA(lat=55.87653°, lon=-168.40811833°, alt=0.0)","UTM(286812.53110010084, 6.197589241655796e6, 0.0)",286.81253110010084,6197.589241655796
26,201006,42,55.88050833,-168.3802,"LLA(lat=55.88050833°, lon=-168.3802°, alt=0.0)","UTM(288579.78275870316, 6.197946018869119e6, 0.0)",288.5797827587032,6197.946018869119
27,201006,43,55.883365,-168.36658333,"LLA(lat=55.883365°, lon=-168.36658333°, alt=0.0)","UTM(289446.5691838026, 6.198222205723731e6, 0.0)",289.4465691838026,6198.22220572373
28,201006,44,56.010385,-168.96415333,"LLA(lat=56.010385°, lon=-168.96415333°, alt=0.0)","UTM(252904.66773616918, 6.214327464924814e6, 0.0)",252.9046677361692,6214.327464924814
29,201006,45,56.80198167,-169.13122,"LLA(lat=56.80198167°, lon=-169.13122°, alt=0.0)","UTM(247793.31119258553, 6.302957519867101e6, 0.0)",247.79331119258552,6302.957519867101
30,201006,46,56.681205,-169.69144,"LLA(lat=56.681205°, lon=-169.69144°, alt=0.0)","UTM(212700.01304908568, 6.291737724408164e6, 0.0)",212.70001304908567,6291.737724408164
31,201006,47,56.21190667,-170.212765,"LLA(lat=56.21190667°, lon=-170.212765°, alt=0.0)","UTM(176842.77284260828, 6.241895834576754e6, 0.0)",176.84277284260827,6241.895834576754
32,201006,48,56.20909833,-170.21463667,"LLA(lat=56.20909833°, lon=-170.21463667°, alt=0.0)","UTM(176703.19367729954, 6.241592548869729e6, 0.0)",176.70319367729954,6241.592548869729
33,201006,49,56.65262,-170.29614833,"LLA(lat=56.65262°, lon=-170.29614833°, alt=0.0)","UTM(175461.7652385024, 6.291262429336518e6, 0.0)",175.4617652385024,6291.262429336518
34,201006,50,56.67148,-170.29624833,"LLA(lat=56.67148°, lon=-170.29624833°, alt=0.0)","UTM(175617.95224554272, 6.293358632174471e6, 0.0)",175.6179522455427,6293.3586321744715
35,201006,51,58.37878833,-171.24286667,"LLA(lat=58.37878833°, lon=-171.24286667°, alt=0.0)","UTM(135220.0170682951, 6.487831612522212e6, 0.0)",135.2200170682951,6487.831612522212
36,201006,52,58.14692833,-171.81931833,"LLA(lat=58.14692833°, lon=-171.81931833°, alt=0.0)","UTM(98989.07988797023, 6.4653759809614755e6, 0.0)",98.98907988797023,6465.375980961476
37,201006,53,59.65920333,-172.82856833,"LLA(lat=59.65920333°, lon=-172.82856833°, alt=0.0)","UTM(59532.2319645501, 6.63948974839889e6, 0.0)",59.5322319645501,6639.48974839889
