column1,survey,event_id,eqlatitude,eqlongitude,lla,utm,x,y,edsu_idx
1,201801,8,54.5585466667,-162.448755,"LLA(lat=54.5585466667°, lon=-162.448755°, alt=0.0)","UTM(664968.4604434363, 6.0486618451500675e6, 0.0)",664.9684604434362,6048.661845150067,1497
2,201801,11,55.21572,-161.76872,"LLA(lat=55.21572°, lon=-161.76872°, alt=0.0)","UTM(705551.7690369603, 6.123559495626173e6, 0.0)",705.5517690369603,6123.559495626173,1379
3,201801,2,55.32862,-158.880966667,"LLA(lat=55.32862°, lon=-158.880966667°, alt=0.0)","UTM(887958.8748978152, 6.148425526671517e6, 0.0)",887.9588748978151,6148.425526671516,1744
4,201801,3,55.3857183333,-159.34337,"LLA(lat=55.3857183333°, lon=-159.34337°, alt=0.0)","UTM(858159.9240337757, 6.152285209481609e6, 0.0)",858.1599240337757,6152.285209481609,952
5,201801,7,55.56528,-160.364113333,"LLA(lat=55.56528°, lon=-160.364113333°, alt=0.0)","UTM(792252.056451947, 6.1674583968989905e6, 0.0)",792.2520564519469,6167.458396898991,1179
6,201801,6,55.5868083333,-160.20699,"LLA(lat=55.5868083333°, lon=-160.20699°, alt=0.0)","UTM(801983.577295679, 6.1705244203705145e6, 0.0)",801.983577295679,6170.524420370514,1106
7,201801,10,55.3466616667,-161.672041667,"LLA(lat=55.3466616667°, lon=-161.672041667°, alt=0.0)","UTM(711003.3349459582, 6.138411920505663e6, 0.0)",711.0033349459583,6138.411920505663,623
8,201801,1,55.25733,-158.462921667,"LLA(lat=55.25733°, lon=-158.462921667°, alt=0.0)","UTM(915169.7660993265, 6.142924129846951e6, 0.0)",915.1697660993266,6142.924129846951,853
9,201801,5,55.54656,-159.940671667,"LLA(lat=55.54656°, lon=-159.940671667°, alt=0.0)","UTM(819074.1674394065, 6.167243545669477e6, 0.0)",819.0741674394066,6167.2435456694775,1102
10,201801,9,54.9673266667,-162.996081667,"LLA(lat=54.9673266667°, lon=-162.996081667°, alt=0.0)","UTM(628282.9554994383, 6.092992794367101e6, 0.0)",628.2829554994383,6092.992794367101,1611
11,201801,4,55.1896883333,-160.227453333,"LLA(lat=55.1896883333°, lon=-160.227453333°, alt=0.0)","UTM(803728.3638579153, 6.1262960934266215e6, 0.0)",803.7283638579153,6126.296093426621,35
