transect,interval,lat,lon,class,nasc,x,y
1,20180608055320,57.1735534,-160.9154249,PK1,0.335756,746.8867838762274,6344.105278063467
1,20180608055623,57.1652994,-160.918081,PK1,48.462309,746.7813915627836,6343.177794752517
1,20180608055846,57.1570385,-160.9191945,PK1,50.181625,746.7691851782718,6342.255134945954
1,20180608060108,57.148706,-160.9200673,PK1,14.878206,746.7719690092212,6341.32538549921
1,20180608060331,57.1403649,-160.9204533,PK1,2.582988,746.8042109585273,6340.396443244543
1,20180608060554,57.1319924,-160.9209823,PK1,60.651398,746.8279991241873,6339.463491690605
1,20180608060822,57.1237182,-160.9214927,PK1,80.681426,746.8522378811573,6338.541538982675
1,20180608061054,57.1153278,-160.9220269,PK1,96.966032,746.8757914509364,6337.606578813348
1,20180608061321,57.1070172,-160.9226391,PK1,98.05591,746.894074054444,6336.680210375824
1,20180608061548,57.0986761,-160.9232309,PK1,39.433271,746.9137724396401,6335.750524547694
1,20180608061814,57.0903471,-160.9238277,PK1,14.984556,746.9330662250368,6334.822166514957
1,20180608062037,57.0820493,-160.9244303,PK1,44.019982,746.9517797851726,6333.897257326094
1,20180608062301,57.0737161,-160.9250361,PK1,29.406584,746.9705133715879,6332.968400388535
1,20180608062524,57.0653444,-160.92577,PK1,225.074649,746.9817210251575,6332.034798651229
1,20180608062745,57.0570614,-160.9264485,PK1,300.771782,746.9956705864176,6331.111261492548
1,20180608063006,57.0487266,-160.9270708,PK1,142.099404,747.0133468002393,6330.182168009894
1,20180608063228,57.0403728,-160.927705,PK1,37.715921,747.0304056398465,6329.250918988817
1,20180608063450,57.0320572,-160.9284067,PK1,48.984771,747.0430954559647,6328.323673808627
1,20180608063713,57.0237172,-160.9291607,PK1,29.820633,747.0527511370739,6327.393526345547
1,20180608063935,57.0154231,-160.9298663,PK1,58.372572,747.0650123019522,6326.468658667379
1,20180608064158,57.0070623,-160.9305996,PK1,72.528609,747.0760110551645,6325.536273989061
1,20180608064420,56.9987424,-160.9312697,PK1,138.617884,747.0905486126918,6324.608666648644
1,20180608064642,56.9904089,-160.9319462,PK1,57.727467,747.1047644197619,6323.679524195592
1,20180608064904,56.9820982,-160.9326819,PK1,52.142318,747.1152110629915,6322.752703208366
1,20180608065126,56.9737552,-160.9334309,PK1,1.705136,747.1250389088091,6321.822242700078
1,20180608135421,56.9791733,-160.9346295,PK1,0.30461,747.0163461031043,6322.420402626196
1,20180608135658,56.9708501,-160.9344587,PK1,12.623117,747.0818731632288,6321.495472849671
1,20180608135927,56.9624911,-160.9350034,PK1,4.401257,747.1041724884542,6320.56397320644
1,20180608140156,56.9541738,-160.9354437,PK1,41.415579,747.1325188420655,6319.63748885196
1,20180608140424,56.9458398,-160.9359377,PK1,3.788304,747.1576950259787,6318.708953474455
1,20180608140652,56.9375015,-160.9364485,PK1,18.43629,747.1818597437667,6317.779879509434
1,20180608140921,56.9291409,-160.9370881,PK1,52.084672,747.1983216912672,6316.847860000993
1,20180608141149,56.9208434,-160.9378793,PK1,64.391899,747.2051237967006,6315.922309018758
1,20180608141416,56.9125463,-160.9386011,PK1,64.130637,747.2161180963783,6314.997054092298
1,20180608141645,56.9042192,-160.939151,PK1,80.686613,747.2377447765809,6314.069085593551
1,20180608141914,56.8958688,-160.9396097,PK1,39.536283,747.2650553586602,6313.1388565252955
1,20180608142141,56.8875781,-160.9401083,PK1,49.914273,747.2895248003141,6312.215122125262
1,20180608142410,56.8792602,-160.9406367,PK1,70.064232,747.3123410176684,6311.288255613707
1,20180608142638,56.870925,-160.9414115,PK1,152.570333,747.3202471048535,6310.3585740948565
1,20180608142908,56.8625647,-160.9421743,PK1,57.514642,747.3290235744337,6309.426145307471
1,20180608143136,56.8542983,-160.9429797,PK1,48.515484,747.3345584974517,6308.504004544067
1,20180608143405,56.8459457,-160.9437512,PK1,85.521538,747.3427013639367,6307.572401409893
1,20180608143633,56.8376315,-160.9445477,PK1,35.629264,747.3490407124881,6306.644978372642
1,20180608143901,56.8293326,-160.9451635,PK1,168.61275,747.366268513369,6305.71991081197
1,20180608144130,56.820961,-160.9457497,PK1,278.45956,747.3857589517701,6304.786866463635
1,20180608144358,56.8126515,-160.9463325,PK1,115.002627,747.4050258889619,6303.860740339911
1,20180608144626,56.8043108,-160.9469559,PK1,60.179824,747.4220007138217,6302.93099830286
1,20180608144852,56.7960207,-160.9475298,PK1,156.784613,747.4416401861953,6302.007062439249
1,20180608145121,56.7876294,-160.9481002,PK1,179.718232,747.4621394951486,6301.071886181377
1,20180608145348,56.7793432,-160.9486957,PK1,166.040779,747.4803931311767,6300.148306652823
1,20180608145616,56.7710198,-160.9493264,PK1,60.617634,747.4967212295328,6299.220463562347
1,20180608145843,56.7626756,-160.9499257,PK1,93.2197,747.5150816338473,6298.290421486491
1,20180608150110,56.7543376,-160.950539,PK1,147.611435,747.5325244295312,6297.361018615079
1,20180608150336,56.7460008,-160.9512056,PK1,116.047608,747.5466807514596,6296.431556817976
1,20180608150603,56.7376719,-160.9518319,PK1,203.14587,747.5632245927139,6295.503119660774
1,20180608150830,56.7293638,-160.9525169,PK1,82.700179,747.5760211653586,6294.576783581241
1,20180608151056,56.7209885,-160.9532072,PK1,178.720417,747.5889118888188,6293.642956135653
1,20180608151322,56.7126498,-160.9538383,PK1,247.532188,747.6051581527809,6292.713413099001
1,20180608151546,56.7043476,-160.9544831,PK1,82.171013,747.6203040598863,6291.787879720064
1,20180608151811,56.6959925,-160.9551086,PK1,86.670121,747.6369557666054,6290.856534080734
1,20180608152036,56.6876943,-160.9558276,PK1,142.490313,747.6474895549266,6289.931178035797
1,20180608152301,56.6793613,-160.9565629,PK1,79.351299,747.657229566463,6289.001893750925
1,20180608152527,56.6710331,-160.9573008,PK1,59.753867,747.6667536602976,6288.073134269673
1,20180608152752,56.6626998,-160.9578377,PK1,87.089604,747.6885943816454,6287.1445347692725
1,20180608153018,56.6543392,-160.9582867,PK1,180.815854,747.7159782874646,6286.213217710567
1,20180608153244,56.6459917,-160.9589233,PK1,178.385215,747.7317657456468,6285.2826795425035
1,20180608153510,56.6376777,-160.9597132,PK1,191.596027,747.7379171378598,6284.3553127876185
1,20180608153736,56.6293716,-160.9604955,PK1,199.547732,747.7444559044618,6283.4288524528965
1,20180608154003,56.6209966,-160.961272,PK1,133.293911,747.7517755767473,6282.49475192491
1,20180608154230,56.6126925,-160.9618643,PK1,104.361671,747.7698987112238,6281.569201647738
1,20180608154456,56.6043542,-160.9624334,PK1,209.462026,747.7896476027904,6280.63993262105
1,20180608154722,56.5960212,-160.9629301,PK1,205.293321,747.8137823963058,6279.711515034688
1,20180608154948,56.5876933,-160.963446,PK1,249.843537,747.8366869762737,6278.7835955750415
1,20180608155214,56.5793323,-160.9639429,PK1,323.596772,747.8609551422405,6277.85206450691
1,20180608155440,56.5710383,-160.9644852,PK1,300.603551,747.8819789350135,6276.927820090188
1,20180608155705,56.5626794,-160.9650157,PK1,171.066612,747.9041322025909,6275.996401918284
1,20180608155931,56.5543269,-160.9656063,PK1,401.078152,747.9225329847721,6275.0654786175655
1,20180608160155,56.5459963,-160.966175,PK1,195.549502,747.9421143738206,6274.137070138705
1,20180608160420,56.5376843,-160.9667503,PK1,319.262062,747.9611479273353,6273.210706518653
1,20180608160646,56.5293285,-160.9674211,PK1,325.82043,747.9745783631755,6272.279127676929
1,20180608160911,56.5210063,-160.9681085,PK1,479.878726,747.9867452693394,6271.3512255632895
1,20180608161137,56.5126992,-160.9687689,PK1,362.380727,748.0004495891577,6270.425100559146
1,20180608161402,56.5043899,-160.9694049,PK1,274.147799,748.0156456541529,6269.498819520566
1,20180608161627,56.4960383,-160.9700721,PK1,353.67492,748.0291766073753,6268.567722475511
1,20180608161852,56.4877092,-160.9707765,PK1,507.033006,748.0402486469987,6267.638993430579
1,20180608162115,56.4793598,-160.9715472,PK1,311.863064,748.0473491749082,6266.707767973973
1,20180608162339,56.4710551,-160.972363,PK1,199.719269,748.0513559446606,6265.781350644757
1,20180608162602,56.4627418,-160.9731685,PK1,203.585855,748.0560256583597,6264.85401472223
1,20180608162826,56.4544066,-160.9737767,PK1,78.806781,748.0729599176631,6263.924956727625
1,20180608163051,56.4460632,-160.9743479,PK1,437.132533,748.0922046789834,6262.9951209847
1,20180608163316,56.4377158,-160.974996,PK1,295.960801,748.1067175739558,6262.064563107957
1,20180608163539,56.4294149,-160.9756983,PK1,467.70114,748.1175649513572,6261.138980630692
1,20180608163803,56.4211123,-160.9764035,PK1,726.708141,748.1282205180875,6260.213199099338
1,20180608164028,56.412709,-160.977015,PK1,240.634509,748.1452837709734,6259.276558764481
1,20180608164252,56.4043837,-160.97744,PK1,292.294782,748.1733157825347,6258.349265867948
1,20180608164515,56.3960655,-160.977885,PK1,453.990723,748.2000514162545,6257.4226906703425
1,20180608164739,56.3876846,-160.978291,PK1,392.9268,748.2295836489861,6256.489284635291
1,20180608165001,56.379356,-160.9787138,PK1,198.411408,748.2577225447202,6255.561634010952
