"","survey","event_id","EQLatitude","EQLongitude"
"1",201807,1,"56.9774183333","-160.92037"
"2",201807,2,"56.7239283333","-161.54203"
"3",201807,3,"56.1000333333","-162.196405"
"4",201807,4,"55.7531883333","-162.82476"
"5",201807,5,"56.736285","-162.7619"
"6",201807,6,"55.7718","-163.391183333"
"7",201807,7,"55.3263583333","-163.98631"
"8",201807,112,"60.8281","-174.845165"
"9",201807,113,"61.7582466667","-175.105511667"
"10",201807,114,"61.753685","-175.107068333"
"11",201807,115,"62.3172","-175.2748"
"12",201807,116,"61.5014283333","-175.714146667"
"13",201807,29,"56.5256616667","-166.408338333"
"14",201807,30,"57.6167766667","-166.478665"
"15",201807,31,"56.3168866667","-166.987093333"
"16",201807,32,"54.625945","-166.906278333"
"17",201807,33,"55.149035","-167.508115"
"18",201807,117,"61.1227416667","-175.619618333"
"19",201807,118,"60.4403166667","-175.412423333"
"20",201807,119,"59.9088816667","-175.25449"
"21",201807,120,"59.2662433333","-175.068408333"
"22",201807,121,"59.1000766667","-175.021"
"23",201807,122,"59.0091616667","-174.989866667"
"24",201807,34,"55.7204083333","-167.540753333"
"25",201807,35,"56.4970766667","-167.615788333"
"26",201807,36,"56.7057183333","-167.53736"
"27",201807,37,"57.046215","-167.677583333"
"28",201807,38,"57.9486316667","-168.381653333"
"29",201807,39,"57.50885","-168.3417"
"30",201807,123,"59.0347866667","-174.97918"
"31",201807,124,"58.5216066667","-175.50663"
"32",201807,125,"59.46342","-175.792176667"
"33",201807,126,"59.4437","-175.7858"
"34",201807,127,"59.4435","-175.62316"
"35",201807,128,"59.4220716667","-175.687936667"
"36",201807,129,"59.6284816667","-175.83428"
"37",201807,40,"56.8493616667","-168.275015"
"38",201807,41,"55.8595933333","-168.168635"
"39",201807,42,"55.4803133333","-168.11215"
"40",201807,43,"55.6769116667","-168.774533333"
"41",201807,44,"55.655805","-168.73941"
"42",201807,130,"60.8606616667","-176.225206667"
"43",201807,131,"61.23449","-176.353228333"
"44",201807,132,"61.2052383333","-176.49969"
"45",201807,133,"61.18257","-176.568378333"
"46",201807,134,"61.5338516667","-176.387936667"
"47",201807,135,"61.5341133333","-176.385495"
"48",201807,45,"56.4101616667","-168.840483333"
"49",201807,46,"56.76882","-168.882211667"
"50",201807,47,"57.227455","-168.938156667"
"51",201807,48,"57.2176366667","-168.92533"
"52",201807,49,"58.2511416667","-169.69385"
"53",201807,50,"56.9599166667","-169.514105"
"54",201807,136,"61.3217333333","-177.07823"
"55",201807,137,"61.07759","-177.005373333"
"56",201807,138,"61.0571166667","-177.104968333"
"57",201807,139,"61.0948166667","-176.891575"
"58",201807,140,"61.0926866667","-176.89838"
"59",201807,141,"60.7878083333","-176.887123333"
"60",201807,51,"56.8159066667","-169.51859"
"61",201807,52,"56.43337","-169.46703"
"62",201807,53,"56.1699933333","-170.038993333"
"63",201807,54,"56.1548366667","-170.03014"
"64",201807,55,"56.512005","-170.08056"
"65",201807,56,"58.5274283333","-170.396851667"
"66",201807,57,"58.5261433333","-170.357976667"
"67",201807,58,"59.2718766667","-170.51687"
"68",201807,59,"59.70789","-170.567198333"
"69",201807,60,"59.9198816667","-170.592301667"
"70",201807,61,"60.083","-170.637793333"
"71",201807,62,"60.4431816667","-170.70216"
"72",201807,63,"61.67913","-170.875768333"
"73",201807,64,"62.2176066667","-170.984488333"
"74",201807,65,"62.7753283333","-171.07157"
"75",201807,66,"61.4821733333","-171.560708333"
"76",201807,67,"60.3404333333","-171.349433333"
"77",201807,142,"60.3508933333","-176.745526667"
"78",201807,143,"60.0973883333","-176.65337"
"79",201807,144,"59.5489266667","-176.467611667"
"80",201807,145,"59.5274283333","-176.384971667"
"81",201807,146,"59.5257","-176.535328333"
"82",201807,68,"59.89506","-171.26881"
"83",201807,69,"58.1030366667","-170.956328333"
"84",201807,70,"58.1195916667","-170.938763333"
"85",201807,71,"57.1626433333","-170.82737"
"86",201807,72,"56.3325483333","-170.659988333"
"87",201807,73,"56.682885","-171.315968333"
"88",201807,74,"58.2197516667","-171.590505"
"89",201807,75,"58.64009","-171.662136667"
"90",201807,76,"59.507995","-171.840978333"
"91",201807,77,"59.18085","-172.424591667"
"92",201807,78,"59.1811916667","-172.392311667"
"93",201807,79,"58.7193566667","-172.325781667"
"94",201807,80,"58.0369233333","-172.21277"
"95",201807,81,"57.1584033333","-172.030003333"
"96",201807,82,"56.539975","-171.925175"
"97",201807,83,"56.563245","-172.512375"
"98",201807,8,"55.8665833333","-163.98236"
"99",201807,84,"57.4200116667","-172.73238"
"100",201807,85,"58.2612083333","-172.895011667"
"101",201807,86,"58.9074883333","-173.02983"
"102",201807,87,"59.5714183333","-173.202453333"
"103",201807,88,"61.0703033333","-173.546058333"
"104",201807,89,"60.7914216667","-172.504516667"
"105",201807,9,"56.5330633333","-163.956666667"
"106",201807,10,"56.576183","-164.012933"
"107",201807,11,"56.577333","-164.011667"
"108",201807,12,"56.2273433333","-164.576116667"
"109",201807,13,"55.9226866667","-164.571391667"
"110",201807,14,"55.3694466667","-164.548983333"
"111",201807,15,"55.2762333333","-164.563446667"
"112",201807,90,"61.4673","-172.697033333"
"113",201807,91,"62.9724916667","-173.063273333"
"114",201807,92,"62.885745","-174.228441667"
"115",201807,93,"62.2380016667","-174.061653333"
"116",201807,94,"61.1703866667","-174.249118333"
"117",201807,16,"55.0188783333","-165.139878333"
"118",201807,17,"55.2684733333","-165.14721"
"119",201807,18,"55.1948216667","-165.15213"
"120",201807,19,"56.6695733333","-165.192158333"
"121",201807,20,"57.1709966667","-165.819805"
"122",201807,21,"55.0398216667","-165.751405"
"123",201807,95,"61.0296533333","-174.212646667"
"124",201807,96,"60.96761","-174.249808333"
"125",201807,97,"60.394195","-174.066063333"
"126",201807,98,"59.4720366667","-173.8239"
"127",201807,99,"59.0489066667","-173.72384"
"128",201807,100,"59.0510033333","-173.689918333"
"129",201807,22,"54.2709766667","-166.058881667"
"130",201807,23,"54.1738983333","-166.283731667"
"131",201807,24,"54.2022733333","-166.270771667"
"132",201807,101,"58.5336033333","-173.574856667"
"133",201807,102,"56.9449066667","-173.247145"
"134",201807,103,"56.6682466667","-173.170878333"
"135",201807,104,"57.6331383333","-173.998811667"
"136",201807,105,"58.0806066667","-174.113368333"
"137",201807,106,"58.2771366667","-174.145151667"
"138",201807,25,"55.496285","-166.355663333"
"139",201807,26,"55.6880633333","-166.393113333"
"140",201807,27,"55.69454","-166.414338333"
"141",201807,28,"56.1100566667","-166.377698333"
"142",201807,107,"58.6647833333","-174.244675"
"143",201807,108,"59.3291333333","-174.433945"
"144",201807,109,"59.7550816667","-174.54545"
"145",201807,110,"59.7385083333","-174.550451667"
"146",201807,111,"60.20372","-174.673336667"
