"","survey","length","age","proportion"
"1",202207,10,1,1
"2",202207,11,1,1
"3",202207,12,1,1
"4",202207,13,1,1
"5",202207,14,1,1
"6",202207,15,1,0.999401740508672
"7",202207,16,1,1
"8",202207,17,1,1
"9",202207,18,1,1
"10",202207,19,1,0.5
"11",202207,20,1,0.5
"12",202207,21,1,0.453930040667039
"13",202207,22,1,0.25
"14",202207,15,2,0.000598259491327763
"15",202207,19,2,0.5
"16",202207,20,2,0.5
"17",202207,21,2,0.545505801662963
"18",202207,22,2,0.75
"19",202207,23,2,1
"20",202207,24,2,0.999995684384539
"21",202207,25,2,1
"22",202207,26,2,0.833233439359434
"23",202207,27,2,0.666666666666667
"24",202207,28,2,0.75
"25",202207,29,2,0.536064487081376
"26",202207,30,2,0.291666666666667
"27",202207,31,2,0.5
"28",202207,32,2,0.3
"29",202207,33,2,0.351648351648352
"30",202207,34,2,0.214285714285714
"31",202207,35,2,0.158333333333333
"32",202207,36,2,0.0714285714285714
"33",202207,21,3,0.000564157669998383
"34",202207,24,3,4.3154522047508e-06
"35",202207,26,3,0.166766533125344
"36",202207,27,3,0.333333333333333
"37",202207,28,3,0.125
"38",202207,29,3,0.44307785357691
"39",202207,30,3,0.647727272727273
"40",202207,31,3,0.283333333333333
"41",202207,32,3,0.44
"42",202207,33,3,0.255842049516748
"43",202207,34,3,0.26890756302521
"44",202207,35,3,0.135356880058867
"45",202207,36,3,0.260695187165775
"46",202207,37,3,0.140640486964016
"47",202207,38,3,0.158627974899321
"48",202207,39,3,0.0968070652173913
"49",202207,40,3,0.0306886318802837
"50",202207,41,3,0.0185185185185185
"51",202207,24,4,1.63255968254643e-10
"52",202207,26,4,2.75152214415541e-08
"53",202207,28,4,0.125
"54",202207,29,4,0.0208576593417138
"55",202207,30,4,0.0606060606060606
"56",202207,31,4,0.216666666666667
"57",202207,32,4,0.26
"58",202207,33,4,0.3925095988349
"59",202207,34,4,0.516806722689076
"60",202207,35,4,0.643598233995585
"61",202207,36,4,0.65183346065699
"62",202207,37,4,0.798186454068807
"63",202207,38,4,0.763794308526255
"64",202207,39,4,0.822350543478261
"65",202207,40,4,0.787941078216936
"66",202207,41,4,0.774984626250449
"67",202207,42,4,0.695151098901099
"68",202207,43,4,0.596531531531531
"69",202207,44,4,0.552380952380952
"70",202207,45,4,0.391863583040054
"71",202207,46,4,0.183589743589744
"72",202207,48,4,0.0225183823529412
"73",202207,35,5,0.0627115526122149
"74",202207,36,5,0.0160427807486631
"75",202207,37,5,0.0437046613517202
"76",202207,38,5,0.074687446593135
"77",202207,39,5,0.0730298913043478
"78",202207,40,5,0.150681658022497
"79",202207,41,5,0.180851614395918
"80",202207,42,5,0.237855834641549
"81",202207,43,5,0.305197505197505
"82",202207,44,5,0.246666666666667
"83",202207,45,5,0.302413273001508
"84",202207,46,5,0.125128205128205
"85",202207,47,5,0.244230769230769
"86",202207,48,5,0.0225183823529412
"87",202207,49,5,0.0381578947368421
"88",202207,50,5,0.044973544973545
"89",202207,51,5,0.0288461538461538
"90",202207,52,5,0.0385185185185185
"91",202207,55,5,0.000158781749461172
"92",202207,37,6,0.0174683976154564
"93",202207,38,6,0.00289026998128843
"94",202207,39,6,0.0078125
"95",202207,40,6,0.0306886318802837
"96",202207,41,6,0.0256452408351143
"97",202207,42,6,0.0669930664573522
"98",202207,43,6,0.0786936936936937
"99",202207,44,6,0.0742857142857143
"100",202207,45,6,0.0671296296296296
"101",202207,46,6,0.219358974358974
"102",202207,47,6,0.126923076923077
"103",202207,48,6,0.147683352187029
"104",202207,49,6,0.147906698564593
"105",202207,50,6,0.00925925925925926
"106",202207,51,6,0.122596153846154
"107",202207,52,6,0.0548343079922027
"108",202207,55,6,0.00369170258801283
"109",202207,57,6,0.00190765046217885
"110",202207,58,6,0.00262360515308595
"111",202207,59,6,0.000745799727970396
"112",202207,43,7,0.0195772695772696
"113",202207,44,7,0.05
"114",202207,45,7,0.128948801742919
"115",202207,46,7,0.0592307692307692
"116",202207,47,7,0.232692307692308
"117",202207,48,7,0.24320088612368
"118",202207,49,7,0.145633971291866
"119",202207,50,7,0.117824074074074
"120",202207,51,7,0.222355769230769
"121",202207,52,7,0.0972514619883041
"122",202207,53,7,0.193522408963585
"123",202207,54,7,0.0208333333333333
"124",202207,55,7,0.163860187762342
"125",202207,56,7,0.0416666666666667
"126",202207,57,7,0.180356988701992
"127",202207,58,7,0.0294160532623453
"128",202207,59,7,0.00203665672705526
"129",202207,61,7,0.00336486196311568
"130",202207,62,7,0.00144718510017177
"131",202207,63,7,0.000508607562580943
"132",202207,44,8,0.0766666666666667
"133",202207,45,8,0.0709736886207474
"134",202207,46,8,0.138461538461538
"135",202207,47,8,0.338461538461538
"136",202207,48,8,0.35120899321267
"137",202207,49,8,0.423145933014354
"138",202207,50,8,0.456448412698413
"139",202207,51,8,0.384615384615385
"140",202207,52,8,0.398382066276803
"141",202207,53,8,0.388480392156863
"142",202207,54,8,0.4875
"143",202207,55,8,0.34233360091386
"144",202207,56,8,0.483333333333333
"145",202207,57,8,0.2810335372291
"146",202207,58,8,0.218534497125285
"147",202207,59,8,0.142113087802737
"148",202207,61,8,0.522239713389852
"149",202207,62,8,0.0180796894383643
"150",202207,63,8,0.00797295288919454
"151",202207,45,9,0.0239651416122004
"152",202207,46,9,0.274230769230769
"153",202207,47,9,0.0576923076923077
"154",202207,48,9,0.163308352187029
"155",202207,49,9,0.125279106858054
"156",202207,50,9,0.262466931216931
"157",202207,51,9,0.183894230769231
"158",202207,52,9,0.37859649122807
"159",202207,53,9,0.240371148459384
"160",202207,54,9,0.329166666666667
"161",202207,55,9,0.276606867287216
"162",202207,56,9,0.341666666666667
"163",202207,57,9,0.163998286537309
"164",202207,58,9,0.0679342724960518
"165",202207,59,9,0.0151717809976522
"166",202207,61,9,0.00231270547923823
"167",202207,62,9,0.00179754467678363
"168",202207,63,9,0.00167487080462877
"169",202207,67,9,1.08430426929042e-05
"170",202207,70,9,2.0685125095696e-11
"171",202207,45,10,0.0147058823529412
"172",202207,48,10,0.0303308823529412
"173",202207,49,10,0.0495215311004785
"174",202207,50,10,0.0342592592592593
"175",202207,51,10,0.0480769230769231
"176",202207,52,10,0.0192592592592593
"177",202207,53,10,0.0651260504201681
"178",202207,54,10,0.0208333333333333
"179",202207,55,10,0.00923440350518132
"180",202207,56,10,0.133333333333333
"181",202207,57,10,0.193762834559053
"182",202207,58,10,0.329426805238353
"183",202207,59,10,0.614185514047257
"184",202207,61,10,0.238921913666904
"185",202207,62,10,0.387614635109289
"186",202207,63,10,0.306527117175095
"187",202207,67,10,0.315181627265769
"188",202207,49,11,0.0381578947368421
"189",202207,50,11,0.0125
"190",202207,52,11,0.0131578947368421
"191",202207,53,11,0.1125
"192",202207,54,11,0.0208333333333333
"193",202207,55,11,0.107778046905298
"194",202207,57,11,0.0459714519812213
"195",202207,58,11,0.217426822241195
"196",202207,59,11,0.0722608890931945
"197",202207,60,11,0.5
"198",202207,61,11,0.0562966458630673
"199",202207,62,11,0.26310720140634
"200",202207,63,11,0.177140901388598
"201",202207,67,11,0.309627143280177
"202",202207,70,11,0.0174424650228324
"203",202207,72,11,0.0454235215439846
"204",202207,48,12,0.0192307692307692
"205",202207,49,12,0.0321969696969697
"206",202207,50,12,0.0622685185185185
"207",202207,51,12,0.00961538461538462
"208",202207,54,12,0.1
"209",202207,55,12,0.00743279255104015
"210",202207,57,12,0.118098735695527
"211",202207,58,12,0.073962507959812
"212",202207,59,12,0.036497876067508
"213",202207,61,12,0.077035228429607
"214",202207,62,12,0.142795818405056
"215",202207,63,12,0.184452620143898
"216",202207,64,12,0.5
"217",202207,67,12,0.0972922940749385
"218",202207,70,12,0.25000000001928
"219",202207,72,12,0.248557013519525
"220",202207,55,13,0.00557028340425434
"221",202207,57,13,0.0148705148336196
"222",202207,58,13,0.0231766013853016
"223",202207,59,13,0.0336550622032926
"224",202207,62,13,0.0664904690037527
"225",202207,63,13,0.0974731199436697
"226",202207,67,13,0.147757031564768
"227",202207,70,13,0.5
"228",202207,72,13,0.228733179836871
"229",202207,54,14,0.0208333333333333
"230",202207,59,14,0.0833333333333333
"231",202207,63,14,0.0493603004230312
"232",202207,67,14,0.0787246320044639
"233",202207,72,14,0.142375688207461
"234",202207,58,15,0.0374988351385705
