specimen_id,species_code,event_id,fork_length,organism_weight
1066,21740,4,41.1,0.418
1067,21740,4,38.3,0.35
1068,21740,4,38.3,0.382
1069,21740,4,42.4,0.484
1070,21740,4,39.3,0.364
1071,21740,4,40.7,0.474
1072,21740,4,41.2,0.538
1073,21740,4,38.2,0.39
1074,21740,4,38.6,0.388
1075,21740,4,38.6,0.396
1076,21740,4,36.6,0.376
978,23010,4,22.3,0.098
1025,21110,4,29.9,0.223
1033,21740,4,15,0.021
1034,21740,4,17,0.03
1035,21740,4,17.5,0.034
1036,21740,4,18.5,0.04
1522,21740,5,60.6,1.277
1523,21740,5,41.5,0.484
1524,21740,5,38.1,0.338
1525,21740,5,39,0.385
1526,21740,5,33.4,0.285
1527,21740,5,44.2,0.669
1528,21740,5,31.7,0.24
1529,21740,5,40.5,0.554
1530,21740,5,43.7,0.523
1531,21740,5,32,0.245
1532,21740,5,40.2,0.479
1533,21740,5,39.5,0.562
1915,21740,6,39.1,0.533
1922,21740,6,41.1,0.57
1923,21740,6,43.5,0.665
1925,21740,6,30.1,0.21
1927,21740,6,41.9,0.549
1534,21740,5,27.8,0.149
1535,21740,5,32,0.278
1536,21740,5,33.6,0.296
1537,21740,5,31,0.203
1538,21740,5,34.2,0.27
1539,21740,5,31.1,0.235
1540,21740,5,33.5,0.254
1541,21740,5,33.2,0.302
1542,21740,5,31.2,0.236
1543,21740,5,37.8,0.413
1544,21740,5,44.1,0.702
1545,21740,5,42.1,0.589
1546,21740,5,43.1,0.509
1547,21740,5,42.3,0.578
1548,21740,5,40.3,0.519
1549,21740,5,44.6,0.686
1550,21740,5,42.9,0.518
1551,21740,5,38,0.398
1552,21740,5,43.3,0.594
1553,21740,5,33.4,0.272
1554,21740,5,32.7,0.257
1555,21740,5,44.8,0.668
1556,21740,5,42.9,0.565
1557,21740,5,42.3,0.625
1558,21740,5,31,0.218
1559,21740,5,39.1,0.505
1560,21740,5,32.8,0.255
1561,21740,5,33.6,0.274
591,21740,2,35.9,0.374
592,21740,2,38.8,0.398
593,21740,2,39.3,0.516
594,21740,2,39.8,0.392
595,21740,2,45.3,0.608
1562,21740,5,43.2,0.565
1563,21740,5,39,0.462
1564,21740,5,41.2,0.459
1565,21740,5,42.1,0.529
1566,21740,5,37.3,0.435
1567,21740,5,32,0.246
1568,21740,5,35.2,0.297
1569,21740,5,41.5,0.442
1570,21740,5,29.5,0.183
1571,21740,5,41.9,0.561
1572,21740,5,39.8,0.516
1573,21740,5,38.8,0.374
1574,21740,5,41.9,0.565
1575,21740,5,37.3,0.399
1576,21740,5,42,0.528
1577,21740,5,32.7,0.257
1578,21740,5,38.7,0.417
1579,21740,5,42.1,0.567
596,21740,2,40.6,0.486
597,21740,2,42.4,0.522
598,21740,2,40.3,0.476
599,21740,2,38.2,0.428
600,21740,2,38.3,0.44
601,21740,2,43.5,0.584
602,21740,2,35.1,0.342
603,21740,2,42.8,0.516
604,21740,2,39.9,0.578
605,21740,2,38.2,0.482
606,21740,2,47,0.69
607,21740,2,41.4,0.506
608,21740,2,37.7,0.434
1580,21740,5,31.9,0.245
1581,21740,5,42.5,0.64
1582,21740,5,33.4,0.296
1340,21110,5,30.6,0.253
1342,21110,5,27.5,0.208
1344,21110,5,31.6,0.279
