cruisejoin,fork_length,sex,weight,age,year
-768,13,3,10,1,2024
-768,15,3,20,1,2024
-768,15,2,20,1,2024
-768,15,3,18,1,2024
-768,16,2,24,1,2024
-768,14,1,18,1,2024
-768,11,3,10,1,2024
-768,11,3,10,1,2024
-768,14,3,15,1,2024
-768,12,3,15,1,2024
-768,13,2,10,1,2024
-768,15,3,15,1,2024
-768,13,3,12,1,2024
-768,14,3,15,1,2024
-768,16,2,25,1,2024
-768,13,2,14,1,2024
-768,15,1,24,1,2024
-768,15,2,14,1,2024
-768,18,2,30,1,2024
-768,11,3,8,1,2024
-768,15,3,10,1,2024
-768,15,1,20,1,2024
-768,15,1,14,1,2024
-768,13,3,12,1,2024
-768,13,3,14,1,2024
-768,15,1,25,1,2024
-768,14,3,12,1,2024
-768,11,3,10,1,2024
-768,14,3,15,1,2024
-768,12,3,10,1,2024
-768,12,3,10,1,2024
-768,15,2,17,1,2024
-768,12,3,5,1,2024
-768,13,3,10,1,2024
-768,14,1,14,1,2024
-768,13,3,15,1,2024
-768,14,3,10,1,2024
-768,12,3,8,1,2024
-768,12,3,15,1,2024
-768,14,2,15,1,2024
-768,10,3,6,1,2024
-768,12,3,10,1,2024
-768,13,3,10,1,2024
-768,13,3,10,1,2024
-768,11,3,10,1,2024
-768,13,3,15,1,2024
-768,14,3,15,1,2024
-768,14,3,15,1,2024
-768,13,2,14,1,2024
-768,13,3,14,1,2024
-768,13,3,10,1,2024
-768,15,3,22,1,2024
-768,15,1,20,1,2024
-768,13,1,10,1,2024
-768,14,2,10,1,2024
-768,15,2,20,1,2024
-768,15,1,15,1,2024
-768,15,2,20,1,2024
-768,13,3,10,1,2024
-768,13,3,10,1,2024
-768,14,2,20,1,2024
-768,13,3,8,1,2024
-768,13,3,10,1,2024
-768,12,3,10,1,2024
-768,13,3,10,1,2024
-768,12,3,12,1,2024
-768,14,2,15,1,2024
-768,14,3,16,1,2024
-768,13,3,10,1,2024
-768,14,3,20,1,2024
-768,15,3,25,1,2024
-768,17,3,35,1,2024
-768,13,3,15,1,2024
-768,16,3,30,1,2024
-768,15,3,20,1,2024
-768,16,1,30,1,2024
-768,14,3,16,1,2024
-768,14,3,18,1,2024
-768,15,3,20,1,2024
-768,15,3,16,1,2024
-768,14,3,15,1,2024
-768,19,3,42,1,2024
-768,16,3,30,1,2024
-768,17,3,30,1,2024
-768,15,3,18,1,2024
