"","ship","survey","event_id","sample_id","specimen_id","measurement_type","measurement_value","device_id","species_code"
"1",157,202408,47,343,15980,"organism_weight","0.416",20,21740
"2",157,202408,47,343,15981,"fork_length","44.0",25,21740
"3",157,202408,47,343,15981,"organism_weight","0.575",20,21740
"4",157,202408,47,343,15982,"fork_length","38.9",25,21740
"5",157,202408,47,343,15982,"organism_weight","0.400",20,21740
"6",157,202408,47,343,15983,"fork_length","39.3",25,21740
"7",157,202408,47,343,15983,"organism_weight","0.425",20,21740
"8",157,202408,47,343,15984,"fork_length","35.5",25,21740
"9",157,202408,47,343,15984,"organism_weight","0.328",20,21740
"10",157,202408,47,343,15985,"fork_length","42.0",25,21740
"11",157,202408,47,343,15985,"organism_weight","0.458",20,21740
"12",157,202408,47,343,15986,"fork_length","33.8",25,21740
"13",157,202408,47,343,15986,"organism_weight","0.267",20,21740
"14",157,202408,47,343,15987,"fork_length","37.6",25,21740
"15",157,202408,47,343,15987,"organism_weight","0.351",20,21740
"16",157,202408,47,343,15988,"fork_length","41.0",25,21740
"17",157,202408,47,343,15988,"organism_weight","0.406",20,21740
"18",157,202408,47,343,15989,"fork_length","40.3",25,21740
"19",157,202408,47,343,15989,"organism_weight","0.401",20,21740
"20",157,202408,47,343,15990,"fork_length","37.0",25,21740
"21",157,202408,47,343,15990,"organism_weight","0.353",20,21740
"22",157,202408,47,343,15991,"fork_length","42.4",25,21740
"23",157,202408,47,343,15991,"organism_weight","0.448",20,21740
"24",157,202408,47,343,15992,"fork_length","40.5",25,21740
"25",157,202408,47,343,15992,"organism_weight","0.432",20,21740
"26",157,202408,47,343,15993,"fork_length","39.4",25,21740
"27",157,202408,47,343,15993,"organism_weight","0.408",20,21740
"28",157,202408,47,343,15994,"fork_length","41.1",25,21740
"29",157,202408,47,343,15994,"organism_weight","0.426",20,21740
"30",157,202408,47,343,15995,"fork_length","43.4",25,21740
"31",157,202408,47,343,15995,"organism_weight","0.521",20,21740
"32",157,202408,47,343,15996,"fork_length","42.1",25,21740
"33",157,202408,47,343,15996,"organism_weight","0.447",20,21740
"34",157,202408,47,343,15997,"fork_length","42.4",25,21740
"35",157,202408,47,343,15997,"organism_weight","0.456",20,21740
"36",157,202408,47,343,15998,"fork_length","43.9",25,21740
"37",157,202408,47,343,15998,"organism_weight","0.523",20,21740
"38",157,202408,47,343,15999,"fork_length","38.0",25,21740
"39",157,202408,47,343,15999,"organism_weight","0.368",20,21740
"40",157,202408,47,343,16000,"fork_length","37.6",25,21740
"41",157,202408,47,343,16000,"organism_weight","0.339",20,21740
"42",157,202408,47,343,16001,"fork_length","40.7",25,21740
"43",157,202408,47,343,16001,"organism_weight","0.380",20,21740
"44",157,202408,47,343,16002,"fork_length","41.2",25,21740
"45",157,202408,47,343,16002,"organism_weight","0.499",20,21740
"46",157,202408,47,344,15927,"organism_weight","0.508",20,40501
"47",157,202408,47,344,15932,"organism_weight","1.070",20,40501
"48",157,202408,47,344,15933,"organism_weight","0.890",20,40501
"49",157,202408,47,344,15934,"organism_weight","1.808",20,40501
"50",157,202408,47,344,15937,"organism_weight","0.478",20,40501
"51",157,202408,47,344,15939,"organism_weight","1.204",20,40501
"52",157,202408,47,344,15941,"organism_weight","0.876",20,40501
"53",157,202408,47,344,15945,"organism_weight","0.234",20,40501
"54",157,202408,47,344,15948,"organism_weight","0.086",20,40501
"55",157,202408,47,344,15951,"organism_weight","2.882",20,40501
"56",157,202408,47,346,15908,"organism_weight","0.236",20,40505
"57",157,202408,47,346,15914,"organism_weight","0.101",20,40505
"58",157,202408,48,348,16004,"fork_length","13.5",24,21740
"59",157,202408,48,348,16006,"fork_length","15.6",24,21740
"60",157,202408,48,348,16007,"fork_length","14.2",24,21740
"61",157,202408,48,348,16008,"fork_length","15.9",24,21740
"62",157,202408,50,388,17079,"organism_weight","0.076",20,21740
"63",157,202408,50,388,17080,"fork_length","21.8",25,21740
"64",157,202408,50,388,17080,"organism_weight","0.068",20,21740
"65",157,202408,50,388,17081,"fork_length","22.7",25,21740
"66",157,202408,50,388,17081,"organism_weight","0.080",20,21740
"67",157,202408,50,388,17082,"fork_length","21.9",25,21740
"68",157,202408,50,388,17082,"organism_weight","0.072",20,21740
"69",157,202408,50,388,17083,"fork_length","19.2",25,21740
"70",157,202408,50,388,17083,"organism_weight","0.050",20,21740
"71",157,202408,50,388,17084,"fork_length","19.0",25,21740
"72",157,202408,50,388,17084,"organism_weight","0.046",20,21740
"73",157,202408,50,388,17085,"fork_length","15.0",25,21740
"74",157,202408,50,388,17085,"organism_weight","0.020",20,21740
"75",157,202408,50,388,17086,"fork_length","23.5",25,21740
"76",157,202408,50,388,17086,"organism_weight","0.088",20,21740
"77",157,202408,50,388,17087,"fork_length","22.7",25,21740
"78",157,202408,50,388,17087,"organism_weight","0.078",20,21740
"79",157,202408,50,388,17088,"fork_length","20.3",25,21740
"80",157,202408,50,388,17088,"organism_weight","0.054",20,21740
"81",157,202408,50,388,17089,"fork_length","21.1",25,21740
"82",157,202408,50,388,17089,"organism_weight","0.066",20,21740
"83",157,202408,50,388,17090,"fork_length","44.7",25,21740
"84",157,202408,50,388,17090,"organism_weight","0.514",20,21740
"85",157,202408,50,388,17091,"fork_length","35.6",25,21740
"86",157,202408,50,388,17091,"organism_weight","0.292",20,21740
"87",157,202408,50,388,17092,"fork_length","23.0",25,21740
"88",157,202408,50,388,17092,"organism_weight","0.082",20,21740
"89",157,202408,50,388,17093,"fork_length","24.0",25,21740
"90",157,202408,50,388,17093,"organism_weight","0.088",20,21740
"91",157,202408,50,388,17094,"fork_length","22.8",25,21740
"92",157,202408,50,388,17094,"organism_weight","0.078",20,21740
"93",157,202408,50,388,17095,"fork_length","22.9",25,21740
