region,INTERVAL,lat,lon,biomass_ton,numbers_millions
East of 170,20240611134918,56.05931675,-161.59740779999998,0.02502281746570802,3.893516770033879e-5
East of 170,20240611135413,56.0656428,-161.5915774,32.627306476513205,0.051243309746424215
East of 170,20240611135738,56.07407295,-161.5911232,350.60752420759326,0.5480559431734631
East of 170,20240611140010,56.0824282,-161.59048015,13.82321556450692,0.021927771632298008
East of 170,20240611140242,56.090693099999996,-161.58984875,34.048047806496164,0.05443692513447046
East of 170,20240611140513,56.098994649999995,-161.58920125,106.66951887410512,0.15300258685607615
East of 170,20240611140743,56.107356,-161.58860675,56.58604543771911,0.08223489674696517
East of 170,20240611141012,56.1156953,-161.58801649999998,119.98701790123211,0.17661460103671156
East of 170,20240611141242,56.12396165,-161.58736570000002,248.31032853879648,0.366898676219142
East of 170,20240611141510,56.1322869,-161.5867465,127.70864248887034,0.1944069155742456
East of 170,20240611141735,56.14060015,-161.58617755,288.45738982764175,0.4250252982327541
East of 170,20240611141958,56.148908,-161.58559835,154.97571034922706,0.22541001396831664
East of 170,20240611142221,56.157191049999994,-161.5849955,277.9752101594564,0.40747839456398344
East of 170,20240611142444,56.165491700000004,-161.58438124999998,679.3221118853529,0.9980550248202309
East of 170,20240611142707,56.173769050000004,-161.5837631,791.0337135277015,1.1655297335924637
East of 170,20240611142931,56.18208490000001,-161.58310035,801.5060628091078,1.1843003586153462
East of 170,20240611143156,56.1903786,-161.58249634999999,630.7122717243827,0.926428127309
East of 170,20240611143421,56.19868665,-161.581956,476.7586865278673,0.7252125614913443
East of 170,20240611143648,56.207006449999994,-161.58139334999998,852.9734658006118,1.3138858076017033
East of 170,20240611143913,56.215362850000005,-161.580783,447.6907496978411,0.6901742430092966
East of 170,20240611144139,56.22369495,-161.5801399,1109.4284397325619,1.7189276451981865
East of 170,20240611144405,56.232028400000004,-161.57954445000001,493.7854735731502,0.7643639720000269
East of 170,20240611144629,56.240301,-161.57896540000002,301.74089901884594,0.46607536649743186
