Column1,survey,vessel,event_id,latitude,longitude
1,202401,134,17,57.01584,-159.15502
2,202401,134,18,57.35331,-158.48717
3,202401,134,19,57.65265,-158.35806
4,202401,134,20,57.99147,-158.26371
5,202401,134,22,57.66824,-159.61341
6,202401,134,24,57.00049,-159.70997
7,202401,134,25,56.70632,-159.76979
8,202401,134,26,56.66382,-160.37261
9,202401,134,27,56.98488,-160.34616
10,202401,134,30,57.32768,-160.30854
11,202401,134,31,57.6455,-160.27429
12,202401,134,32,57.33575,-161.52419
13,202401,134,33,57.01216,-161.56986
14,202401,134,34,56.68233,-161.58726
15,202401,134,35,56.34355,-161.61337
16,202401,134,36,57.31678,-162.15339
17,202401,134,38,57.64396,-162.14959
18,202401,134,40,57.3355,-162.77502
19,202401,134,41,57.68881,-163.38359
20,202401,134,42,57.35039,-163.38036
21,202401,134,43,57.34259,-164.00388
22,202401,134,44,57.01768,-164.03304
23,202401,134,45,57.01955,-163.39915
24,202401,134,46,56.68885,-163.37846
25,202401,134,47,56.68587,-162.78978
26,202401,134,48,56.34413,-162.7995
27,202401,134,49,55.99721,-162.85179
28,202401,134,50,55.99974,-162.28955
29,202401,134,51,55.67256,-162.81886
30,202401,134,52,55.65204,-163.39516
31,202401,134,53,55.98329,-163.39163
32,202401,134,54,56.30657,-163.41796
33,202401,134,55,56.68976,-164.01631
34,202401,134,56,56.35373,-164.00652
35,202401,134,57,56.02519,-164.0417
36,202401,134,58,55.71464,-163.98936
37,202401,134,59,55.33881,-163.39742
38,202401,134,60,55.35178,-164.01594
39,202401,134,61,55.02619,-164.59035
40,202401,134,62,55.34245,-164.56121
41,202401,134,63,55.32126,-165.16802
42,202401,134,64,55.62851,-165.18243
43,202401,134,65,55.97889,-165.18631
44,202401,134,66,56.31602,-165.19988
45,202401,134,67,56.64968,-165.22027
46,202401,134,68,56.97738,-165.23047
47,202401,134,69,57.32616,-165.23307
48,202401,134,70,57.64716,-165.24755
49,202401,134,71,58.00003,-165.25331
50,202401,134,72,57.9999,-164.65905
51,202401,134,73,58.33231,-164.61711
52,202401,134,74,58.32133,-165.26469
53,202401,134,75,58.65774,-165.31659
54,202401,134,76,58.66661,-164.68997
55,202401,134,77,58.97362,-164.65048
56,202401,134,78,59.32119,-164.64207
57,202401,134,79,59.33237,-165.27805
58,202401,134,80,59.33255,-165.91047
59,202401,134,81,59.35292,-166.60478
60,202401,134,82,59.02522,-166.58105
61,202401,134,83,58.69232,-166.56378
62,202401,134,84,58.34974,-166.55854
