date,location,sounder,transceiver,xducer,sphere_id,cwfm,power,pulse_length,sa_corr_calc,sa_corr_ek80
26-Jan-20,"Port Susan, WA",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.025623233,-0.02
12-Feb-20,"Uganik Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.04528698,-0.04
12-Feb-20,"Uganik Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,4.096,-0.10418628,
16-Mar-20,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.047908254,-0.04
19-Feb-21,"Port Madison, WA",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.066211888,-0.01
2-Mar-21,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.027655091,-0.05
15-Mar-21,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.054907616,-0.13
1-Jun-21,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,0.512,-0.093025207,-0.13
10-Jul-21,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,0.512,-0.09223859,-0.15
30-Jan-22,"Port Madison, Wa",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.022820278,0
8-Mar-22,"Kalsin Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.03502149,-0.04
31-May-22,"Captains Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,0.512,-0.087450094,-0.1
9-Jul-22,Captains Bay AK,EK80,978217,324,WC38.1_33,CW,2000,0.512,-0.105274359,-0.13
5-Aug-22,Captains Bay AK,EK80,978217,324,WC38.1_52,CW,2000,0.512,-0.103995967,-0.13
25-Jan-23,"Port Madison, Wa",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.065233896,-0.07
12-Feb-23,"Uyak Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.039652044,-0.04
13-Mar-23,"Kaiugnak Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,1.024,-0.043469208,-0.03
11-Jun-23,"Uyak Bay, AK",EK80,978217,324,WC38.1_33,CW,2000,0.512,-0.056521396,-0.12
13-May-05,Port Susan WA,EK60,1,324,,CW,2000,,-0.626054936,-0.66
2-Jun-05,3 Saints AK,EK60,1,324,,CW,2000,,-0.6219967,-0.66
28-Jul-05,3 Saints Bay AK,EK60,1,324,,CW,2000,,-0.477227547,-0.6
4-Oct-05,"Cypress Island, WA",EK60,1,324,,CW,2000,,-0.602421358,-0.68
27-Jan-06,"Eliot Bay, WA 47 37.17, 122 22.79",EK60,1,324,,CW,2000,,-0.568575418,-0.63
27-Jan-06,"Eliot Bay, WA 47 37.17, 122 22.79",EK60,1,324,,CW,2000,,-0.552185339,
2-Apr-06,"Eliot Bay, WA  47 37.5,  122 24.3",EK60,1,324,,CW,2000,,-0.589579036,-0.65
3-Jul-06,"Captain's Bay, AK",EK60,1,324,,CW,2000,,-0.578280518,-0.62
3-Jul-06,"Captain's Bay, AK",EK60,1,324,,CW,2000,,-0.419493125,
14-Jul-06,"Captain's Bay, AK",EK60,1,324,,CW,2000,,-0.573859375,-0.65
14-Jul-06,"Captain's Bay, AK",EK60,1,324,,CW,2000,,-0.573710928,-0.67
24-Jan-07,"Elliot Bay, WA",EK60,1,324,,CW,2000,,-0.585732236,-0.65
2-Mar-07,"Captains Bay, AK",EK60,1,324,,CW,2000,,-0.67001992,-0.63
10-Mar-07,"Portage Bay, AK",EK60,1,324,,CW,2000,,-0.61784759,-0.61
23-Mar-07,"Uyak Bay, AK",EK60,1,324,,CW,2000,,-0.63145664,-0.65
2-Jun-07,"Captains Bay, AK",EK60,1,324,,CW,2000,,-0.595232098,-0.64
21-Jun-07,"Captains Bay, AK",EK60,1,324,,CW,2000,,-0.628659906,-0.63
