Date,Location,transceiver,transducer,sphere_id,cwfm,power,pulse_length,transducer_temp,sphere_temp,TS_ref,range,TS_meas,system_gain,Sa_corr_sys,Sv_gain,,,
26-Jan-20,"Port Susan, WA",976714,306,WC38.1_33,CW,250.000,1.02,8 ,9.29,-39.50,23.76,-39.95,27.00 ,0.00 ,26.66,,,
12-Feb-20,"Uganik Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,4 ,4.38,-39.63 ,20.5,-39.21,26.73 ,-0.09 ,26.82 ,,,
16-Mar-20,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,3 ,3.35,-39.66 ,21.21,-39.32,26.85 ,-0.07 ,26.92,,,
19-Feb-21,"Port Madison, WA",976714,306,WC38.1_33,CW,250.000,1.02,,,-39.51 ,24.76,-39.26,27.00 ,0.00 ,26.97,,,
2-Mar-21,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,4 ,3.89,-39.63 ,20.99,-40.01,26.99 ,-0.19 ,26.66,,,
15-Mar-21,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,3 ,3.28,-39.67 ,21.14,-40.35,26.86 ,-0.19 ,26.42,,,
1-Jun-21,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51,6 ,5.08,-39.61 ,21.16,-40.17,27.00 ,0.00 ,26.56,,,
10-Jul-21,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51,7 ,6.58 ,-39.56 ,21.26,-39.38,26.63 ,-0.14 ,26.56,,,
30-Jan-22,"Port Madison, Wa",976714,306,WC38.1_33,CW,250.000,1.02,9 ,8.77,-39.52 ,20.20,-40.49,26.86 ,-0.19 ,26.29,,,
8-Mar-22,"Kalsin Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,4 ,4.29 ,-39.62 ,21.14 ,-39.47,26.35 ,-0.10 ,26.32,,,
31-May-22,"Captains Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51,5 ,4.15 ,-39.63 ,20.47 ,-40.02,26.63 ,-0.14 ,26.30,,,
31-May-22,"Captains Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51,5 ,4.15 ,-39.64 ,20.45,-40.03,26.63 ,-0.14 ,26.30,,,
9-Jul-22,"Captains Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51,7 ,4.92 ,-39.60 ,21.64,-39.32 ,26.39 ,-0.11 ,26.37 ,,,
5-Aug-22,Captains Bay AK,976714,306,WC38.1_52,CW,250.000,0.51 ,8 ,6.00 ,-39.55 ,19.87,-39.39 ,26.39 ,-0.11 ,26.34 ,,,
25-Jan-23,"Port Madison, Wa",976714,306,WC38.1_33,CW,250.000,1.02,8 ,8.39 ,-39.51 ,20.74,-40.58,26.86 ,-0.19 ,26.18,,,
12-Feb-23,"Uyak Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,5 ,4.74 ,-39.60 ,24.83,-39.38 ,26.39 ,-0.18 ,26.37 ,,,
13-Mar-23,"Kaiugnak Bay, AK",976714,306,WC38.1_33,CW,250.000,1.02,4 ,4.04 ,-39.63 ,25.31,-39.72 ,26.53 ,-0.13 ,26.38 ,,,
11-Jun-23,"Uyak Bay, AK",976714,306,WC38.1_33,CW,250.000,0.51 ,6 ,5.69 ,-39.58 ,25.05 ,-40.30 ,27.00 ,0.00 ,26.46 ,,,
12-Aug-23,"North Arm, Nuka Bay, Kenai Peninsula, AK",976714,306,WC38.1_33,CW,250.000,0.51 ,12 ,8.77 ,-39.53 ,21.15 ,-39.53 ,26.64 ,-0.16 ,26.49 ,,,
45306,"Port Madison, Wa",976714,306,WC38.1_33,CW,250,1.024,8.67,9.07,-39.5,19.88,-39.92,26.53,-0.13,26.1854766127527,,0.227873202975138,0.0509539972103015
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
13-May-05,Port Susan WA,,,,,,,10.9,9.6,,21.74 ,-41.29 ,22.20,-0.59,22.08 ,,0.363538163430565,0.0269472415223138
2-Jun-05,3 Saints AK,,,,,,,8.1,6.5,-42.3,22.95 ,-42.22 ,22.71,-0.66,22.12 ,,,
28-Jul-05,3 Saints Bay AK,,,,,,,12.5,10.9,-42.3,22.80 ,-42.68 ,22.74,-0.67,22.09 ,,,
4-Oct-05,"Cypress Island, WA",,,,,,,10.9,11.0,-42.33,23.30 ,-42.19 ,22.74,-0.67,22.21 ,,,
27-Jan-06,"Eliot Bay, WA 47 37.17, 122 22.79",,,,,,,8.9,9.0,-42.33,24.65 ,-42.47 ,22.81,-0.65,22.15 ,,,
27-Jan-06,"Eliot Bay, WA 47 37.17, 122 22.79",,,,,,,8.9,9.0,-42.28,24.65 ,-42.46 ,22.81,-0.65,22.17 ,,,
2-Apr-06,"Eliot Bay, WA  47 37.5,  122 24.3",,,,,,,8.6,8.5,-42.28,22.09 ,-42.33 ,22.81,-0.65,22.19 ,,,
,,,,,,,,Summer 2005 average,,-42.27,,,,,22.10 ,,,
3-Jul-06,"Captain's Bay, AK",,,,,,,6.6,4.6,,23.29 ,-41.88 ,22.72,-0.63,22.31 ,,,
3-Jul-06,"Captain's Bay, AK",,,,,,,6.6,5.6,-42.22,17.30 ,-42.21 ,22.72,-0.63,22.31 ,,,
14-Jul-06,"Captain's Bay, AK",,,,,,,6.7,4.9,-42.22,23.86 ,-41.92 ,22.72,-0.63,22.30 ,,,
14-Jul-06,"Captain's Bay, AK",,,,,,,6.7,4.9,-42.22,22.81 ,-42.00 ,22.72,-0.63,22.26 ,,,
,,,,,,,,Captain's bay Avg,,-42.22,,,,,22.29 ,,,
