ship,survey,event_id,species_code,specimen_id,fork_length,organism_weight,age,sex,eq_longitude
157,200707,3,21740,53,46,0.634,6,Male,-163.8588
157,200707,3,21740,56,62,1.62,9,Female,-163.8588
157,200707,3,21740,57,58,1.55,12,Male,-163.8588
157,200707,3,21740,73,64,1.972,8,Male,-163.8588
157,200707,3,21740,62,54,1.234,11,Male,-163.8588
157,200707,3,21740,67,57,1.516,15,Male,-163.8588
157,200707,3,21740,69,53,0.854,9,Male,-163.8588
157,200707,3,21740,71,51,0.886,7,Female,-163.8588
157,200707,3,21740,74,57,1.404,11,Male,-163.8588
157,200707,3,21740,43,57,1.232,8,Male,-163.8588
157,200707,3,21740,44,60,1.716,8,Male,-163.8588
157,200707,3,21740,46,59,1.468,8,Female,-163.8588
157,200707,3,21740,49,51,0.978,5,Male,-163.8588
157,200707,3,21740,68,54,1.034,7,Female,-163.8588
157,200707,3,21740,72,65,1.908,12,Female,-163.8588
157,200707,3,21740,47,65,2.17,9,Female,-163.8588
157,200707,3,21740,54,58,1.126,8,Male,-163.8588
157,200707,3,21740,60,60,1.492,10,Male,-163.8588
157,200707,3,21740,65,57,1,9,Male,-163.8588
157,200707,3,21740,66,59,1.474,13,Male,-163.8588
157,200707,3,21740,70,56,1.256,11,Male,-163.8588
157,200707,3,21740,45,49,0.668,4,Female,-163.8588
157,200707,3,21740,50,63,1.826,8,Female,-163.8588
157,200707,3,21740,42,51,0.86,8,Male,-163.8588
157,200707,3,21740,48,61,1.44,9,Female,-163.8588
157,200707,3,21740,51,60,1.5,14,Male,-163.8588
157,200707,3,21740,55,50,0.866,7,Male,-163.8588
157,200707,3,21740,61,55,1.026,10,Male,-163.8588
157,200707,3,21740,63,56,0.928,8,Female,-163.8588
157,200707,3,21740,52,60,1.464,7,Female,-163.8588
157,200707,3,21740,58,53,1.034,11,Male,-163.8588
157,200707,3,21740,59,59,1.3,12,Female,-163.8588
157,200707,3,21740,64,62,1.724,9,Female,-163.8588
157,200707,3,21740,75,28,0.14,3,Female,-163.8588
157,200707,4,21740,145,52,1.106,8,Male,-163.8954
157,200707,4,21740,147,62,1.886,9,Female,-163.8954
157,200707,4,21740,152,59,1.612,9,Male,-163.8954
157,200707,4,21740,153,59,1.416,7,Female,-163.8954
157,200707,4,21740,154,60,1.814,10,Male,-163.8954
157,200707,4,21740,158,54,1.066,8,Male,-163.8954
157,200707,4,21740,162,56,1.466,12,Male,-163.8954
157,200707,4,21740,185,64,1.974,9,Female,-163.8954
157,200707,4,21740,146,57,1.696,7,Male,-163.8954
157,200707,4,21740,151,61,1.64,8,Female,-163.8954
157,200707,4,21740,166,56,1.34,8,Male,-163.8954
157,200707,4,21740,142,56,1.184,7,Male,-163.8954
157,200707,4,21740,144,61,1.66,10,Female,-163.8954
157,200707,4,21740,156,63,2.076,11,Female,-163.8954
157,200707,4,21740,161,54,1.026,12,Male,-163.8954
157,200707,4,21740,165,60,1.59,10,Male,-163.8954
157,200707,4,21740,168,57,1.516,9,Female,-163.8954
157,200707,4,21740,150,60,1.722,9,Male,-163.8954
157,200707,4,21740,139,55,1.328,12,Male,-163.8954
157,200707,4,21740,140,59,1.594,8,Male,-163.8954
157,200707,4,21740,149,60,1.776,10,Male,-163.8954
157,200707,4,21740,157,53,0.962,8,Male,-163.8954
157,200707,4,21740,163,59,1.904,8,Female,-163.8954
157,200707,4,21740,167,53,1.23,8,Female,-163.8954
157,200707,4,21740,148,60,1.794,9,Male,-163.8954
157,200707,4,21740,159,55,1.224,13,Male,-163.8954
157,200707,4,21740,160,53,0.904,11,Male,-163.8954
157,200707,4,21740,183,58,1.414,11,Female,-163.8954
157,200707,4,21740,186,55,1.274,7,Male,-163.8954
157,200707,4,21740,141,57,1.728,11,Male,-163.8954
157,200707,4,21740,143,57,1.334,8,Male,-163.8954
157,200707,4,21740,155,61,1.476,9,Female,-163.8954
157,200707,4,21740,164,56,1.214,8,Female,-163.8954
157,200707,4,21740,184,54,1.382,11,Male,-163.8954
157,200707,4,21740,187,57,1.474,7,Male,-163.8954
157,200707,9,21740,625,50,0.974,6,Male,-164.4326
157,200707,9,21740,628,49,0.782,7,Female,-164.4326
157,200707,9,21740,630,50,0.918,7,Male,-164.4326
157,200707,9,21740,641,46,0.632,7,Male,-164.4326
157,200707,9,21740,642,53,0.984,8,Male,-164.4326
157,200707,9,21740,643,58,1.362,6,Female,-164.4326
157,200707,9,21740,644,53,1.074,5,Female,-164.4326
157,200707,9,21740,647,51,0.904,6,Male,-164.4326
157,200707,9,21740,654,62,1.32,11,Female,-164.4326
157,200707,9,21740,656,54,1.168,8,Female,-164.4326
157,200707,9,21740,659,54,1.096,7,Female,-164.4326
157,200707,9,21740,623,49,0.804,7,Female,-164.4326
157,200707,9,21740,640,51,0.84,7,Female,-164.4326
157,200707,9,21740,645,51,1.13,6,Male,-164.4326
157,200707,9,21740,652,50,1.014,7,Male,-164.4326
157,200707,9,21740,660,55,1.354,7,Female,-164.4326
157,200707,9,21740,618,49,0.786,7,Female,-164.4326
157,200707,9,21740,629,55,1.016,9,Female,-164.4326
157,200707,9,21740,632,52,1.086,6,Male,-164.4326
157,200707,9,21740,626,50,1.07,7,Female,-164.4326
157,200707,9,21740,639,55,1.178,8,Female,-164.4326
157,200707,9,21740,646,51,1.034,7,Male,-164.4326
157,200707,9,21740,653,52,1.184,7,Male,-164.4326
157,200707,9,21740,657,52,1.038,7,Male,-164.4326
157,200707,9,21740,658,53,1.066,8,Male,-164.4326
157,200707,9,21740,620,56,1.232,8,Female,-164.4326
157,200707,9,21740,622,53,1.2,6,Male,-164.4326
157,200707,9,21740,648,54,1.252,9,Male,-164.4326
157,200707,9,21740,650,52,1.12,7,Female,-164.4326
157,200707,9,21740,619,54,1.146,7,Female,-164.4326
157,200707,9,21740,624,56,1.31,9,Female,-164.4326
157,200707,9,21740,627,57,1.388,7,Female,-164.4326
157,200707,9,21740,631,43,0.556,5,Male,-164.4326
157,200707,9,21740,638,54,1.118,8,Male,-164.4326
157,200707,9,21740,649,48,0.758,6,Female,-164.4326
157,200707,9,21740,655,58,1.534,7,Female,-164.4326
157,200707,9,21740,661,50,0.698,6,Female,-164.4326
157,200707,9,21740,663,54,1.192,8,Female,-164.4326
157,200707,9,21740,621,52,0.99,7,Female,-164.4326
157,200707,9,21740,651,45,0.786,6,Male,-164.4326
157,200707,9,21740,662,48,0.618,7,Male,-164.4326
157,200707,10,21740,869,48,0.854,7,Female,-165.0254
157,200707,10,21740,997,45,0.71,5,Male,-165.0254
157,200707,10,21740,1003,56,1.09,8,Female,-165.0254
157,200707,10,21740,1007,49,0.724,6,Female,-165.0254
157,200707,10,21740,1014,46,0.732,5,Female,-165.0254
157,200707,10,21740,1005,55,1.028,7,Female,-165.0254
157,200707,10,21740,1008,53,0.894,7,Female,-165.0254
157,200707,10,21740,1009,50,0.922,7,Female,-165.0254
157,200707,10,21740,1010,58,1.512,7,Female,-165.0254
157,200707,10,21740,1012,49,0.792,5,Female,-165.0254
157,200707,10,21740,1017,48,0.888,5,Male,-165.0254
157,200707,10,21740,870,48,0.926,6,Male,-165.0254
157,200707,10,21740,872,45,0.706,7,Male,-165.0254
157,200707,10,21740,875,50,1.096,6,Male,-165.0254
157,200707,10,21740,994,50,1.042,7,Male,-165.0254
157,200707,10,21740,1006,47,0.72,6,Male,-165.0254
157,200707,10,21740,1013,46,0.652,6,Male,-165.0254
157,200707,10,21740,1015,44,0.666,6,Male,-165.0254
157,200707,10,21740,874,43,0.554,6,Male,-165.0254
157,200707,10,21740,992,49,0.886,7,Male,-165.0254
157,200707,10,21740,993,41,0.548,4,Male,-165.0254
157,200707,10,21740,1016,58,1.302,8,Female,-165.0254
157,200707,10,21740,1020,48,0.844,6,Male,-165.0254
157,200707,10,21740,928,46,0.724,5,Male,-165.0254
157,200707,10,21740,1018,48,0.912,6,Male,-165.0254
157,200707,10,21740,871,55,1.422,7,Male,-165.0254
157,200707,10,21740,991,49,0.564,8,Male,-165.0254
157,200707,10,21740,1002,52,0.938,9,Male,-165.0254
157,200707,10,21740,1004,52,1.036,6,Female,-165.0254
157,200707,10,21740,873,53,1.012,8,Male,-165.0254
157,200707,10,21740,926,47,0.7,5,Female,-165.0254
157,200707,10,21740,927,52,1.002,7,Male,-165.0254
157,200707,10,21740,996,45,0.664,5,Male,-165.0254
157,200707,10,21740,998,48,0.844,5,Male,-165.0254
157,200707,10,21740,999,50,0.854,7,Male,-165.0254
157,200707,10,21740,1001,48,0.848,6,Female,-165.0254
157,200707,10,21740,995,54,1.13,7,Male,-165.0254
157,200707,10,21740,1000,42,0.586,4,Male,-165.0254
157,200707,10,21740,1011,45,0.706,6,Male,-165.0254
157,200707,14,21740,1138,50,0.838,7,Female,-165.6085
157,200707,14,21740,1146,52,0.986,7,Male,-165.6085
157,200707,14,21740,1170,47,0.7,7,Female,-165.6085
157,200707,14,21740,1225,43,0.386,5,Male,-165.6085
157,200707,14,21740,1226,52,0.992,6,Male,-165.6085
157,200707,14,21740,1230,45,0.626,7,Female,-165.6085
157,200707,14,21740,1235,45,0.73,7,Male,-165.6085
157,200707,14,21740,1241,42,0.536,5,Male,-165.6085
157,200707,14,21740,1244,51,0.956,8,Female,-165.6085
157,200707,14,21740,1152,46,0.756,6,Male,-165.6085
157,200707,14,21740,1156,47,0.774,7,Male,-165.6085
157,200707,14,21740,1157,46,0.794,7,Male,-165.6085
157,200707,14,21740,1169,48,0.826,6,Male,-165.6085
157,200707,14,21740,1223,44,0.63,6,Male,-165.6085
157,200707,14,21740,1227,49,0.762,7,Female,-165.6085
157,200707,14,21740,1234,55,0.996,7,Female,-165.6085
157,200707,14,21740,1239,48,0.798,6,Female,-165.6085
157,200707,14,21740,1246,48,0.716,6,Male,-165.6085
157,200707,14,21740,1140,44,0.732,6,Male,-165.6085
157,200707,14,21740,1145,41,0.512,4,Female,-165.6085
157,200707,14,21740,1153,44,0.684,5,Male,-165.6085
157,200707,14,21740,1167,54,1.088,7,Male,-165.6085
157,200707,14,21740,1171,45,0.742,6,Female,-165.6085
157,200707,14,21740,1222,51,0.982,7,Male,-165.6085
157,200707,14,21740,1228,51,1.034,8,Male,-165.6085
157,200707,14,21740,1137,52,0.844,6,Female,-165.6085
157,200707,14,21740,1149,49,0.714,4,Female,-165.6085
157,200707,14,21740,1160,50,1.004,7,Male,-165.6085
157,200707,14,21740,1162,44,0.566,6,Female,-165.6085
157,200707,14,21740,1165,46,0.644,6,Female,-165.6085
157,200707,14,21740,1233,49,0.77,7,Male,-165.6085
157,200707,14,21740,1139,51,0.82,6,Female,-165.6085
157,200707,14,21740,1147,49,0.77,7,Male,-165.6085
