"","species_code","scientific_name","common_name"
"1",24166,"Lycodapus psarostomatus","specklemouth eelpout"
"2",24170,"Lycodapus mandibularis","pallid eelpout"
"3",24180,"Lycodes sp.","Lycodes sp."
"4",24181,"Lycodes rossi","threespot eelpout"
"5",24182,"Lycodes soldatovi","dipline eelpout"
"6",24184,"Lycodes raridens","marbled eelpout"
"7",24185,"Lycodes palearis","wattled eelpout"
"8",24186,"Lycodes mucosus","saddled eelpout"
"9",24187,"Lycodes concolor","ebony eelpout"
"10",24188,"Lycodes polaris","Canadian eelpout"
"11",24189,"Lycodes turneri","polar eelpout"
"12",24190,"Lycodes diapterus","black eelpout"
"13",24191,"Lycodes brevipes","shortfin eelpout"
"14",24192,"Gymnelus viridis","fish doctor"
"15",24193,"Gymnelus sp.","Gymnelus sp."
"16",24194,"Gymnelus hemifasciatus","halfbarred eelpout"
"17",24200,"Lycodes pacificus","blackbelly eelpout"
"18",24220,"Bothrocara sp.","Bothrocara sp."
"19",24230,"Lycodapus sp.","Lycodapus sp."
"20",24231,"Lycodapus poecilus","variform eelpout"
"21",24232,"Lycodapus parviceps","smallhead eelpout"
"22",24233,"Lycodapus grossidens","bigtooth eelpout"
"23",24240,"Lycodema barbatum","bearded eelpout"
"24",24393,"Melanostigma pammelas","midwater eelpout"
"25",24394,"Puzanovia rubra","coral eelpout"
"26",24395,"Nalbantichthys elongatus","thinskin eelpout"
"27",24404,"Gibbonsia metzi","striped kelpfish"
"28",25100,"Acipenseridae (family)","sturgeon unid."
"29",25120,"Acipenser medirostris","green sturgeon"
"30",26050,"Stomiidae (family)","loosejaw unid."
"31",26053,"Aristostomias scintillans","shining loosejaw"
"32",26060,"Neonesthes capensis","Neonesthes capensis"
"33",27020,"Lampris guttatus","opah"
"34",27028,"Stylephorus chordatus","tube-eye"
"35",27050,"Synodontidae (family)","lizardfish unid."
"36",27051,"Synodus lucioceps","California lizardfish"
"37",28532,"Howella sherborni","Sherborn's cardinalfish"
"38",29990,"Eurypharynx pelecanoides","umbrellamouth gulper"
"39",29996,"Saccopharynx sp.","Saccopharynx sp."
"40",29999,"Actinopterygii (class)","roundfish unid."
"41",30000,"Scorpaenidae (family)","scorpionfish and rockfish unid."
"42",30010,"Sebastolobus (genus)","thornyhead unid."
"43",30020,"Sebastolobus alascanus","shortspine thornyhead"
"44",30025,"Sebastolobus macrochir","broadfin thornyhead"
